OpenTime,Open,High,Low,Close,Volume
1736035200000,351.66,352.69,339.38,341.7,122069
1736121600000,341.8,355.39,335.86,341.5,169724
1736208000000,341.52,343.32,305.51,306.88,185392
1736294400000,306.89,312.52,275.82,293.31,261568
1736380800000,293.3,299.86,273.29,281.13,227904
1736467200000,281.12,300.9,276.36,285.8,249623
1736553600000,285.78,293.84,280.07,287.2,80313.2
1736640000000,287.3,296.04,284.64,287.92,78375.5
1736726400000,287.99,297.03,256.18,289.57,316087
1736812800000,289.62,301.54,285.43,295.52,166640
1736899200000,295.48,323.91,285.65,319.92,238760
1736985600000,319.99,321.49,305.1,311.23,161303
1737072000000,311.25,336.61,310.86,335.19,167317
1737158400000,335.16,341.91,306.25,315.57,220504
1737244800000,315.5,348.18,292.59,309.41,542806
1737331200000,309.41,365.39,296.13,337.53,1.01678e+06
1737417600000,337.48,378.49,327.09,370.8,684137
1737504000000,370.71,372.4,345.22,346.65,233350
1737590400000,346.64,350.44,324.31,337.41,275833
1737676800000,337.41,357.56,327.81,334.97,239364
1737763200000,334.98,338.6,326.05,326.42,113109
1737849600000,326.45,336.27,315.79,316.56,111837
1737936000000,316.52,320.56,288.09,305.07,321956
1738022400000,305.07,307.82,280.84,284.16,181046
1738108800000,284.14,301.96,282.55,290.99,216685
1738195200000,291,322.42,286.89,315.44,174687
1738281600000,315.49,349.23,312.56,332.71,335111
1738368000000,332.68,333.54,295,296.06,167929
1738454400000,296.07,304.77,245.24,258.44,366450
1738540800000,258.45,284.98,192.63,276.45,1.12744e+06
1738627200000,276.45,278.33,248.92,272.3,459215
1738713600000,272.3,283.38,256,259.71,263654
1738800000000,259.71,266.89,239.23,241.48,213477
1738886400000,241.44,262.1,231.08,238.05,256449
1738972800000,238.06,241.88,231.08,238.84,123643
1739059200000,238.83,252.72,229.75,241.25,184419
1739145600000,241.23,258,234.51,252.61,210359
1739232000000,252.62,262.77,242.02,243.75,196526
1739318400000,243.72,261.09,231.76,252.81,212497
1739404800000,252.81,258.17,246.44,256.42,181008
1739491200000,256.42,270.28,253.03,262.61,135543
1739577600000,262.6,263.67,249.59,253.38,63140.5
1739664000000,253.36,259,249.97,253.95,59418.4
1739750400000,253.91,278.68,249.56,264.57,255620
1739836800000,264.6,266.12,241.59,249.6,177667
1739923200000,249.63,258.41,246.78,252.98,139949
1740009600000,253.01,263.45,251.09,261.28,125912
1740096000000,261.27,269.11,238.59,242.92,258217
1740182400000,242.94,251.76,239,247.14,132479
1740268800000,247.15,254.24,243.27,247.7,83526.2
1740355200000,247.71,249.36,205.22,210.78,232853
1740441600000,210.73,213.55,189.51,205.13,475177
1740528000000,205.14,211.65,192.08,202.55,295383
1740614400000,202.57,210.08,196.61,203.97,146455
1740700800000,203.97,204.56,178.21,192.25,304631
1740787200000,192.25,197.02,183.47,194.99,125176
1740873600000,195,227,190.06,223.52,312987
1740960000000,223.5,224.42,177.73,180.91,301482
1741046400000,180.94,216.88,167.52,206.7,654728
1741132800000,206.65,226.28,204.27,220.89,379319
1741219200000,220.91,241.83,208.2,208.46,456120
1741305600000,208.49,212.25,195.3,196.64,372748
1741392000000,196.65,199.33,185.13,195.74,246081
1741478400000,195.73,198.23,176.22,178.6,265699
1741564800000,178.61,202.01,175.3,180.36,478366
1741651200000,180.37,186.08,166.98,182.08,509955
1741737600000,182.08,184.37,163.85,174.83,441159
1741824000000,174.79,176.26,160.13,162.81,298320
1741910400000,162.84,177.4,162.06,173.13,248731
1741996800000,173.13,177.35,171.78,173.01,102137
1742083200000,173,174.04,163.28,164.72,132976
1742169600000,164.71,178.13,164.55,174.71,173910
1742256000000,174.72,175.33,164.84,170.08,141001
1742342400000,170.09,184.64,169.65,182.49,227825
1742428800000,182.5,183.01,171.52,178.77,175787
1742515200000,178.78,183.32,174,178.26,153104
1742601600000,178.27,183.84,178.23,179.77,84609.3
1742688000000,179.78,186.53,179.45,185.05,112879
1742774400000,185.06,194.73,181.29,190.77,134166
1742860800000,190.76,192.53,185.33,186.67,114808
1742947200000,186.69,190.37,175.13,177.43,185901
1743033600000,177.45,186.23,177.08,184.72,111414
1743120000000,184.76,187.01,168.44,175.83,161365
1743206400000,175.92,180.61,165.82,168.15,176027
1743292800000,168.16,169.57,161.33,163.67,132334
1743379200000,163.68,164.61,151.86,159.59,174133
1743465600000,159.62,171.46,159.16,166.04,153540
1743552000000,166.06,168.99,149.5,150.29,280169
1743638400000,150.24,157.27,146.31,151.13,154186
1743724800000,151.13,154.07,144.38,152.02,196022
1743811200000,151.98,155.46,149.47,152.53,69132.9
1743897600000,152.52,152.59,126.33,129,214453
1743984000000,129.05,136.29,114.05,132.03,596015
1744070400000,132.02,136.14,123.54,125.3,361650
1744156800000,125.32,145.15,119.84,143.15,345619
1744243200000,143.15,143.37,128.21,131.95,290061
1744329600000,131.94,139.47,131.3,136.49,224809
1744416000000,136.48,150.16,133.73,148.1,174861
1744502400000,148.11,148.42,136.6,139.18,159796
1744588800000,139.18,147.23,137.95,138.94,147442
