OpenTime,Open,High,Low,Close,Volume
1736035200000,1.0707,1.115,1.0521,1.0911,1.71631e+08
1736121600000,1.0911,1.1162,1.0575,1.0934,1.81396e+08
1736208000000,1.0934,1.1519,0.988,0.9892,3.65563e+08
1736294400000,0.9893,1.0242,0.9079,0.9468,3.69801e+08
1736380800000,0.9467,0.9604,0.8798,0.9045,2.39358e+08
1736467200000,0.9045,0.974,0.904,0.9303,2.0826e+08
1736553600000,0.9303,1.0176,0.9134,0.9955,1.46492e+08
1736640000000,0.9955,1.0369,0.9613,0.9677,1.96542e+08
1736726400000,0.9676,0.9938,0.8758,0.9444,2.88678e+08
1736812800000,0.9444,1.0109,0.938,0.9972,1.87169e+08
1736899200000,0.9972,1.09,0.9879,1.0755,3.84218e+08
1736985600000,1.0755,1.145,1.0273,1.0892,3.8325e+08
1737072000000,1.0893,1.1662,1.0854,1.133,2.76531e+08
1737158400000,1.1331,1.1466,1.0482,1.1045,2.56782e+08
1737244800000,1.1044,1.152,0.9636,0.993,5.60821e+08
1737331200000,0.993,1.1014,0.9594,1.0094,4.64298e+08
1737417600000,1.0095,1.0288,0.9508,1.0058,3.03338e+08
1737504000000,1.0059,1.0199,0.9759,0.9827,1.47886e+08
1737590400000,0.9827,1.0118,0.9512,0.9867,1.92569e+08
1737676800000,0.9867,1.01,0.9636,0.9712,1.24427e+08
1737763200000,0.9712,0.9919,0.9642,0.9766,5.67217e+07
1737849600000,0.9766,1.0003,0.9515,0.953,7.31979e+07
1737936000000,0.953,0.9587,0.8568,0.9345,2.5795e+08
1738022400000,0.9346,0.9684,0.9031,0.9169,1.24707e+08
1738108800000,0.9168,0.9603,0.9018,0.9399,1.35142e+08
1738195200000,0.9398,0.9886,0.9363,0.9595,8.67211e+07
1738281600000,0.9595,0.9837,0.9347,0.9429,1.13819e+08
1738368000000,0.9428,0.9576,0.8875,0.8948,8.83848e+07
1738454400000,0.8947,0.9113,0.7513,0.8052,3.40524e+08
1738540800000,0.8051,0.8245,0.506,0.812,1.33695e+09
1738627200000,0.8121,0.8198,0.715,0.7439,3.36203e+08
1738713600000,0.744,0.7764,0.7251,0.7325,1.74718e+08
1738800000000,0.7325,0.766,0.6978,0.7052,1.87579e+08
1738886400000,0.7052,0.7532,0.6902,0.7072,2.0619e+08
1738972800000,0.7072,0.718,0.6815,0.7005,1.0644e+08
1739059200000,0.7006,0.716,0.6503,0.6814,1.45973e+08
1739145600000,0.6815,0.7245,0.6632,0.7121,1.68782e+08
1739232000000,0.7121,0.8213,0.7101,0.7781,3.6403e+08
1739318400000,0.7782,0.8079,0.7448,0.7997,2.71335e+08
1739404800000,0.7998,0.8309,0.7693,0.8107,1.48409e+08
1739491200000,0.8107,0.8293,0.7891,0.7998,1.4488e+08
1739577600000,0.7997,0.8141,0.7745,0.7811,7.26494e+07
1739664000000,0.7811,0.7893,0.7615,0.7714,6.26514e+07
1739750400000,0.7714,0.8291,0.7705,0.8089,1.93681e+08
1739836800000,0.8089,0.814,0.7351,0.7541,1.73069e+08
1739923200000,0.7542,0.7761,0.7328,0.7738,1.1856e+08
1740009600000,0.7737,0.8111,0.7703,0.8036,1.23014e+08
1740096000000,0.8036,0.8187,0.7501,0.7621,1.7613e+08
1740182400000,0.7622,0.7845,0.7571,0.7734,7.00488e+07
1740268800000,0.7733,0.7883,0.7596,0.7697,6.80665e+07
1740355200000,0.7698,0.7774,0.67,0.6816,1.87853e+08
1740441600000,0.6816,0.695,0.6302,0.6832,3.1462e+08
1740528000000,0.6832,0.6954,0.6312,0.6474,1.88683e+08
1740614400000,0.6475,0.6798,0.6263,0.6451,1.19338e+08
1740700800000,0.6451,0.6466,0.5801,0.6328,2.5811e+08
1740787200000,0.6328,0.677,0.6252,0.6593,1.01845e+08
1740873600000,0.6593,1.1488,0.645,1.135,1.46203e+09
1740960000000,1.1349,1.1747,0.8228,0.8578,1.41035e+09
1741046400000,0.8577,0.9562,0.7576,0.9409,1.10303e+09
1741132800000,0.9409,1.0278,0.9136,0.9741,6.84543e+08
1741219200000,0.9741,0.9886,0.8854,0.9065,4.26709e+08
1741305600000,0.9065,0.9206,0.8064,0.8181,7.89792e+08
1741392000000,0.818,0.8392,0.7931,0.8052,1.95764e+08
1741478400000,0.8052,0.8176,0.709,0.7215,3.41584e+08
1741564800000,0.7216,0.7786,0.6582,0.6712,4.52131e+08
1741651200000,0.6711,0.7444,0.6471,0.7241,4.18368e+08
1741737600000,0.724,0.77,0.7111,0.736,2.72407e+08
1741824000000,0.736,0.742,0.6909,0.703,2.64883e+08
1741910400000,0.703,0.7514,0.6963,0.7373,2.00723e+08
1741996800000,0.7372,0.7594,0.7309,0.7468,1.34639e+08
1742083200000,0.7468,0.7473,0.6936,0.7049,1.66304e+08
1742169600000,0.7049,0.732,0.7024,0.7175,1.24793e+08
1742256000000,0.7175,0.7184,0.6816,0.7017,1.24187e+08
1742342400000,0.7017,0.747,0.7003,0.7436,2.03334e+08
1742428800000,0.7436,0.7554,0.712,0.718,1.63788e+08
1742515200000,0.7179,0.7277,0.7006,0.705,9.93376e+07
1742601600000,0.705,0.7161,0.6971,0.7014,5.80147e+07
1742688000000,0.7015,0.716,0.6917,0.7107,8.37917e+07
1742774400000,0.7106,0.7452,0.7055,0.732,1.64892e+08
1742860800000,0.732,0.7666,0.7209,0.7448,1.91707e+08
1742947200000,0.7447,0.7744,0.7197,0.7287,1.66874e+08
1743033600000,0.7288,0.7444,0.7209,0.7381,7.83742e+07
1743120000000,0.7381,0.7465,0.6895,0.7062,1.40943e+08
1743206400000,0.7062,0.7122,0.6588,0.6732,1.04353e+08
1743292800000,0.6733,0.6877,0.6512,0.6612,7.37742e+07
1743379200000,0.6613,0.6655,0.6296,0.6618,1.2656e+08
1743465600000,0.6618,0.6949,0.6577,0.677,1.06364e+08
1743552000000,0.6771,0.7098,0.6348,0.64,1.68146e+08
1743638400000,0.64,0.6576,0.613,0.6508,1.14219e+08
1743724800000,0.6509,0.6717,0.6275,0.6603,1.26446e+08
1743811200000,0.6603,0.6675,0.6448,0.6547,4.37629e+07
1743897600000,0.6547,0.6553,0.5597,0.5737,1.66216e+08
1743984000000,0.5737,0.6055,0.511,0.5864,4.1907e+08
1744070400000,0.5863,0.6201,0.5528,0.5583,2.38978e+08
1744156800000,0.5583,0.6464,0.5366,0.6315,3.27515e+08
1744243200000,0.6315,0.6338,0.5857,0.6094,1.596e+08
1744329600000,0.6094,0.645,0.6059,0.6239,1.52727e+08
1744416000000,0.6239,0.6675,0.617,0.6595,1.15874e+08
1744502400000,0.6596,0.6687,0.6301,0.6383,1.04411e+08
1744588800000,0.6383,0.6575,0.6277,0.6375,1.03087e+08
