OpenTime,Open,High,Low,Close,Volume
1736035200000,0.4101,0.4161,0.3953,0.4052,7.14354e+07
1736121600000,0.4052,0.4317,0.3965,0.4149,9.04207e+07
1736208000000,0.4148,0.426,0.3711,0.3726,1.3453e+08
1736294400000,0.3726,0.3824,0.3394,0.3591,1.3028e+08
1736380800000,0.3591,0.3637,0.3354,0.3418,9.07307e+07
1736467200000,0.3419,0.3853,0.3383,0.3725,1.33975e+08
1736553600000,0.3726,0.3861,0.3584,0.3781,6.09103e+07
1736640000000,0.3781,0.3799,0.3533,0.3602,4.66985e+07
1736726400000,0.3602,0.374,0.3235,0.3493,1.20217e+08
1736812800000,0.3493,0.3779,0.3453,0.3726,6.88823e+07
1736899200000,0.3727,0.4499,0.3697,0.4446,2.27161e+08
1736985600000,0.4446,0.4847,0.4257,0.4643,2.42207e+08
1737072000000,0.4644,0.4967,0.4625,0.4686,1.56722e+08
1737158400000,0.4687,0.4751,0.4335,0.4452,1.26873e+08
1737244800000,0.4452,0.4584,0.3879,0.3979,2.03431e+08
1737331200000,0.3979,0.48,0.3836,0.4302,2.79712e+08
1737417600000,0.4303,0.4455,0.4058,0.4241,1.26642e+08
1737504000000,0.4242,0.4321,0.403,0.4056,9.21949e+07
1737590400000,0.4055,0.4233,0.3895,0.4101,9.94981e+07
1737676800000,0.4102,0.4269,0.3921,0.4001,7.67633e+07
1737763200000,0.4,0.4096,0.3935,0.4033,5.05102e+07
1737849600000,0.4034,0.419,0.3812,0.3815,5.65266e+07
1737936000000,0.3816,0.3889,0.3446,0.3867,1.65555e+08
1738022400000,0.3868,0.3918,0.3575,0.3628,6.66299e+07
1738108800000,0.3628,0.3858,0.3536,0.3693,7.79151e+07
1738195200000,0.3694,0.3963,0.3653,0.3875,6.83848e+07
1738281600000,0.3876,0.4021,0.374,0.3792,6.70948e+07
1738368000000,0.3792,0.3859,0.3445,0.3477,5.72788e+07
1738454400000,0.3476,0.3564,0.2808,0.2997,1.74259e+08
1738540800000,0.2998,0.3188,0.2191,0.3129,4.01689e+08
1738627200000,0.3128,0.3169,0.2782,0.2909,1.49938e+08
1738713600000,0.2909,0.2995,0.2779,0.2814,8.96379e+07
1738800000000,0.2815,0.2977,0.2636,0.2668,9.2752e+07
1738886400000,0.2668,0.2952,0.2604,0.2696,9.04633e+07
1738972800000,0.2696,0.2781,0.2641,0.2759,4.62269e+07
1739059200000,0.2759,0.2886,0.2583,0.275,6.48365e+07
1739145600000,0.275,0.2979,0.2684,0.2902,7.24943e+07
1739232000000,0.2902,0.3136,0.2824,0.286,7.94965e+07
1739318400000,0.286,0.3056,0.2757,0.3025,1.14768e+08
1739404800000,0.3025,0.3075,0.285,0.2934,7.26062e+07
1739491200000,0.2935,0.3088,0.2904,0.2964,7.29054e+07
1739577600000,0.2964,0.3029,0.281,0.2843,4.05569e+07
1739664000000,0.2844,0.2855,0.2732,0.2751,3.56801e+07
1739750400000,0.2752,0.2839,0.2658,0.2701,4.73306e+07
1739836800000,0.2701,0.272,0.2448,0.2575,6.66622e+07
1739923200000,0.2575,0.2645,0.2517,0.2614,3.45683e+07
1740009600000,0.2614,0.2723,0.26,0.2711,5.28723e+07
1740096000000,0.2711,0.29,0.2551,0.2638,7.61239e+07
1740182400000,0.2639,0.2722,0.2618,0.2662,4.24476e+07
1740268800000,0.2662,0.269,0.2534,0.2595,3.22407e+07
1740355200000,0.2596,0.2614,0.2248,0.2272,8.78276e+07
1740441600000,0.2272,0.2374,0.209,0.2319,1.12977e+08
1740528000000,0.2319,0.2423,0.2255,0.2362,6.94854e+07
1740614400000,0.2363,0.2438,0.2301,0.2374,4.47181e+07
1740700800000,0.2375,0.243,0.2122,0.2379,1.07337e+08
1740787200000,0.238,0.2588,0.234,0.2533,7.36535e+07
1740873600000,0.2534,0.3078,0.2438,0.291,2.65076e+08
1740960000000,0.2909,0.2997,0.2355,0.2381,1.50709e+08
1741046400000,0.2382,0.2433,0.2163,0.2385,1.79672e+08
1741132800000,0.2384,0.2547,0.2341,0.2502,8.07301e+07
1741219200000,0.2501,0.2602,0.2399,0.2401,5.89018e+07
1741305600000,0.2402,0.248,0.2261,0.2332,8.2417e+07
1741392000000,0.2332,0.2363,0.2231,0.2247,4.18136e+07
1741478400000,0.2247,0.2267,0.199,0.2012,7.21033e+07
1741564800000,0.2012,0.2147,0.181,0.1839,1.05234e+08
1741651200000,0.184,0.2003,0.1736,0.1913,9.12318e+07
1741737600000,0.1913,0.2014,0.1861,0.1958,7.03401e+07
1741824000000,0.1957,0.2017,0.1885,0.1959,6.39487e+07
1741910400000,0.196,0.2051,0.1942,0.1984,4.21243e+07
1741996800000,0.1984,0.2041,0.1978,0.1998,2.86183e+07
1742083200000,0.1999,0.2017,0.1845,0.1863,4.92186e+07
1742169600000,0.1863,0.195,0.1861,0.1911,3.48034e+07
1742256000000,0.1912,0.1917,0.18,0.1865,3.9106e+07
1742342400000,0.1864,0.2013,0.1851,0.1997,6.70596e+07
1742428800000,0.1998,0.202,0.1923,0.1953,4.78549e+07
1742515200000,0.1952,0.1968,0.1868,0.1873,2.84545e+07
1742601600000,0.1873,0.1916,0.1863,0.1881,2.10879e+07
1742688000000,0.1882,0.192,0.1869,0.1917,2.09895e+07
1742774400000,0.1917,0.2076,0.1905,0.2036,4.53436e+07
1742860800000,0.2036,0.2147,0.2007,0.2118,3.82841e+07
1742947200000,0.2118,0.2184,0.2032,0.2067,3.5943e+07
1743033600000,0.2068,0.216,0.2057,0.2119,3.66183e+07
1743120000000,0.212,0.2159,0.1967,0.1997,4.00238e+07
1743206400000,0.1997,0.2008,0.1801,0.1841,4.07396e+07
1743292800000,0.1842,0.1874,0.1773,0.1795,2.56074e+07
1743379200000,0.1796,0.1819,0.1724,0.18,4.30907e+07
1743465600000,0.18,0.1937,0.1791,0.189,3.53601e+07
1743552000000,0.189,0.1959,0.1736,0.1769,6.71874e+07
1743638400000,0.1768,0.1814,0.1682,0.1809,4.47565e+07
1743724800000,0.181,0.1927,0.1762,0.1863,5.99524e+07
1743811200000,0.1862,0.19,0.1802,0.1833,2.55846e+07
1743897600000,0.1833,0.1853,0.1581,0.1623,4.78386e+07
1743984000000,0.1623,0.175,0.146,0.1667,1.01384e+08
1744070400000,0.1667,0.1736,0.1529,0.1551,6.10465e+07
1744156800000,0.1551,0.1849,0.1488,0.1802,1.05028e+08
1744243200000,0.1802,0.1819,0.1699,0.1766,5.05062e+07
1744329600000,0.1765,0.1859,0.1753,0.1797,5.23241e+07
1744416000000,0.1797,0.1976,0.1769,0.1911,6.24005e+07
1744502400000,0.1911,0.1917,0.1796,0.1829,4.14403e+07
1744588800000,0.1829,0.2004,0.1826,0.1919,7.2514e+07
