OpenTime,Open,High,Low,Close,Volume
1736035200000,9.99,10.17,9.72,10.09,3.0813e+06
1736121600000,10.09,10.33,9.8,10.17,4.93828e+06
1736208000000,10.18,10.66,9.52,9.66,1.36015e+07
1736294400000,9.65,9.72,8.64,9.02,9.71865e+06
1736380800000,9.01,9.14,8.45,8.65,6.01313e+06
1736467200000,8.64,9.25,8.64,9.13,6.18794e+06
1736553600000,9.13,9.27,8.84,9.12,2.8155e+06
1736640000000,9.12,9.16,8.72,8.83,2.93506e+06
1736726400000,8.84,9.09,7.89,8.48,9.23181e+06
1736812800000,8.47,9.11,8.41,9.01,5.18345e+06
1736899200000,9.01,9.52,8.73,9.46,5.78818e+06
1736985600000,9.46,9.51,9.02,9.24,7.57526e+06
1737072000000,9.24,9.84,9.23,9.75,6.04984e+06
1737158400000,9.75,9.87,9.06,9.33,5.9412e+06
1737244800000,9.33,9.56,8.39,8.5,1.66441e+07
1737331200000,8.49,9.27,8.21,8.55,1.55843e+07
1737417600000,8.55,8.88,8.12,8.74,8.02119e+06
1737504000000,8.74,8.97,8.45,8.5,4.85545e+06
1737590400000,8.49,8.59,8.08,8.33,6.9163e+06
1737676800000,8.33,8.58,7.98,8.21,5.04572e+06
1737763200000,8.22,8.26,8.03,8.1,4.02596e+06
1737849600000,8.1,8.45,7.81,7.83,3.48219e+06
1737936000000,7.83,7.83,6.86,7.62,1.25136e+07
1738022400000,7.63,7.76,7.12,7.22,4.80047e+06
1738108800000,7.21,7.68,7.16,7.43,7.33877e+06
1738195200000,7.43,8.02,7.36,7.84,5.89334e+06
1738281600000,7.84,8.42,7.67,7.8,6.89501e+06
1738368000000,7.81,7.86,7.01,7.05,7.41886e+06
1738454400000,7.06,7.19,5.85,6.16,1.63506e+07
1738540800000,6.16,6.51,4.57,6.5,3.5266e+07
1738627200000,6.5,6.58,5.83,6.08,1.48816e+07
1738713600000,6.08,6.27,5.87,5.97,1.00878e+07
1738800000000,5.97,6.16,5.68,5.73,1.144e+07
1738886400000,5.73,6.26,5.53,5.72,1.44235e+07
1738972800000,5.72,5.89,5.51,5.84,6.62379e+06
1739059200000,5.84,5.98,5.59,5.91,8.28121e+06
1739145600000,5.91,6.4,5.67,6.2,1.44324e+07
1739232000000,6.19,6.4,5.8,5.88,1.02351e+07
1739318400000,5.89,6.25,5.74,6.15,1.04284e+07
1739404800000,6.16,6.31,5.94,6.14,8.90527e+06
1739491200000,6.14,6.32,6.02,6.1,6.84713e+06
1739577600000,6.1,6.27,5.96,6,4.36463e+06
1739664000000,6.01,6.05,5.77,5.81,3.49789e+06
1739750400000,5.81,6.16,5.76,5.93,6.11244e+06
1739836800000,5.93,5.95,5.34,5.64,8.68902e+06
1739923200000,5.63,6.63,5.58,6.33,1.55832e+07
1740009600000,6.32,7.06,6.13,6.32,1.42673e+07
1740096000000,6.33,6.5,5.9,5.99,1.31423e+07
1740182400000,5.99,6.17,5.93,6.02,5.61147e+06
1740268800000,6.03,6.24,5.96,6.11,4.22614e+06
1740355200000,6.11,6.16,5.28,5.41,9.9997e+06
1740441600000,5.41,5.8,5.04,5.64,1.57882e+07
1740528000000,5.63,5.96,5.51,5.91,1.07564e+07
1740614400000,5.91,6.5,5.91,6.16,1.11276e+07
1740700800000,6.15,6.49,5.63,6.46,1.39348e+07
1740787200000,6.45,6.62,6.22,6.3,7.00839e+06
1740873600000,6.3,6.81,6.16,6.75,8.14413e+06
1740960000000,6.76,6.78,5.61,5.74,9.82865e+06
1741046400000,5.74,5.77,5.04,5.45,1.32052e+07
1741132800000,5.46,6.56,5.4,6.21,1.24568e+07
1741219200000,6.2,6.31,5.913,5.999,4.27399e+06
1741305600000,5.997,6.381,5.81,6.166,5.2934e+06
1741392000000,6.166,6.214,5.772,5.953,2.55625e+06
1741478400000,5.953,6.148,5.578,5.614,4.93483e+06
1741564800000,5.615,5.758,5.011,5.199,7.66817e+06
1741651200000,5.2,5.661,5.015,5.309,8.55235e+06
1741737600000,5.308,5.367,5.018,5.206,7.06116e+06
1741824000000,5.205,5.223,4.909,5.15,5.49397e+06
1741910400000,5.151,5.358,5.116,5.209,3.4463e+06
1741996800000,5.209,5.441,5.184,5.348,2.34746e+06
1742083200000,5.349,5.39,5.099,5.145,2.58638e+06
1742169600000,5.145,5.45,5.143,5.346,3.42884e+06
1742256000000,5.347,5.474,5.211,5.429,3.51464e+06
1742342400000,5.43,5.66,5.361,5.603,4.40373e+06
1742428800000,5.603,5.64,5.404,5.628,2.28527e+06
1742515200000,5.628,5.744,5.404,5.618,2.52733e+06
1742601600000,5.617,5.819,5.589,5.677,1.92805e+06
