OpenTime,Open,High,Low,Close,Volume
1736035200000,0.8948,0.9234,0.8762,0.9162,7.31722e+07
1736121600000,0.9162,0.9545,0.9031,0.919,9.1849e+07
1736208000000,0.919,0.9209,0.8176,0.8207,8.59578e+07
1736294400000,0.8207,0.8306,0.7517,0.7871,1.00541e+08
1736380800000,0.7871,0.7988,0.7307,0.7432,6.51085e+07
1736467200000,0.7431,0.7745,0.7303,0.748,6.83813e+07
1736553600000,0.7479,0.761,0.7247,0.7441,4.02068e+07
1736640000000,0.7442,0.7517,0.7195,0.7304,3.11522e+07
1736726400000,0.7305,0.7496,0.6463,0.703,1.07723e+08
1736812800000,0.703,0.7447,0.6975,0.7388,5.05031e+07
1736899200000,0.7389,0.7971,0.718,0.7918,8.31202e+07
1736985600000,0.7918,0.7979,0.7468,0.7575,8.20145e+07
1737072000000,0.7576,0.8294,0.7576,0.8152,6.54858e+07
1737158400000,0.8153,0.8348,0.749,0.7671,8.85809e+07
1737244800000,0.7671,0.7949,0.6836,0.6982,2.35505e+08
1737331200000,0.6982,0.761,0.6656,0.6983,2.21506e+08
1737417600000,0.6982,0.7487,0.6707,0.7222,9.86898e+07
1737504000000,0.7221,0.7426,0.6961,0.7007,5.5554e+07
1737590400000,0.7009,0.7243,0.6829,0.7204,7.5856e+07
1737676800000,0.7205,0.7424,0.6957,0.6994,5.86233e+07
1737763200000,0.6993,0.7117,0.6866,0.7006,3.13789e+07
1737849600000,0.7006,0.717,0.6748,0.6756,3.28694e+07
1737936000000,0.6756,0.6779,0.6042,0.6433,1.2365e+08
1738022400000,0.6433,0.6528,0.5849,0.5925,6.274e+07
1738108800000,0.5926,0.6269,0.5903,0.6054,6.96031e+07
1738195200000,0.6055,0.6436,0.5992,0.63,5.47613e+07
1738281600000,0.6301,0.674,0.615,0.6414,8.5263e+07
1738368000000,0.6414,0.6527,0.5718,0.5781,9.5346e+07
1738454400000,0.578,0.5911,0.4659,0.4936,1.61307e+08
1738540800000,0.4937,0.5157,0.3453,0.5109,4.97524e+08
1738627200000,0.5109,0.5136,0.4522,0.4774,1.85282e+08
1738713600000,0.4775,0.4985,0.4642,0.4707,9.71699e+07
1738800000000,0.4707,0.483,0.4419,0.4455,8.7332e+07
1738886400000,0.4455,0.4674,0.4205,0.4326,1.02283e+08
1738972800000,0.4325,0.4535,0.4282,0.45,4.7661e+07
1739059200000,0.45,0.4678,0.4283,0.449,4.81001e+07
1739145600000,0.4489,0.4806,0.4349,0.4723,6.26168e+07
1739232000000,0.4723,0.4937,0.4578,0.4629,5.64749e+07
1739318400000,0.4629,0.5094,0.449,0.4939,9.24404e+07
1739404800000,0.4939,0.5036,0.476,0.4873,4.92572e+07
1739491200000,0.4874,0.5119,0.4837,0.4976,5.6785e+07
1739577600000,0.4977,0.499,0.4712,0.4767,2.36236e+07
1739664000000,0.4768,0.491,0.4714,0.4741,3.355e+07
1739750400000,0.4741,0.5146,0.466,0.4968,5.51494e+07
1739836800000,0.4968,0.4988,0.4392,0.4604,9.54518e+07
1739923200000,0.4605,0.4744,0.4519,0.4711,4.18012e+07
1740009600000,0.4712,0.496,0.4702,0.4908,6.82516e+07
1740096000000,0.4907,0.5104,0.4579,0.4681,9.02369e+07
1740182400000,0.4681,0.4869,0.4655,0.4766,3.83172e+07
1740268800000,0.4767,0.4906,0.4723,0.4781,3.24479e+07
1740355200000,0.4782,0.4816,0.4006,0.4111,9.85749e+07
1740441600000,0.4112,0.4276,0.3804,0.4195,1.37537e+08
1740528000000,0.4196,0.4329,0.4036,0.4224,6.73398e+07
1740614400000,0.4225,0.4391,0.4116,0.4249,5.22734e+07
1740700800000,0.4251,0.4267,0.3834,0.422,1.06316e+08
1740787200000,0.4222,0.4269,0.4028,0.4179,3.6666e+07
1740873600000,0.418,0.4666,0.4091,0.463,9.90537e+07
1740960000000,0.4631,0.4644,0.3828,0.3918,1.21171e+08
1741046400000,0.3918,0.3939,0.3496,0.3798,1.35968e+08
1741132800000,0.3798,0.4358,0.3748,0.415,1.34299e+08
1741219200000,0.415,0.4292,0.3997,0.4038,6.45388e+07
1741305600000,0.4038,0.416,0.3857,0.3948,7.7817e+07
1741392000000,0.3949,0.4041,0.3819,0.3981,2.88742e+07
1741478400000,0.398,0.3996,0.3446,0.3495,5.71409e+07
1741564800000,0.3496,0.3724,0.3141,0.3203,1.01886e+08
1741651200000,0.3204,0.3471,0.2946,0.3377,1.30727e+08
1741737600000,0.3377,0.3545,0.3265,0.3485,7.35996e+07
1741824000000,0.3485,0.3544,0.3307,0.3438,4.68473e+07
1741910400000,0.3438,0.3667,0.3425,0.3588,4.64224e+07
1741996800000,0.3588,0.37,0.3567,0.3644,2.56745e+07
1742083200000,0.3643,0.3652,0.3447,0.3482,4.13711e+07
