OpenTime,Open,High,Low,Close,Volume
1736035200000,7.296,7.426,7.143,7.342,1.5811e+06
1736121600000,7.345,7.642,7.214,7.453,2.93816e+06
1736208000000,7.452,7.771,6.765,6.772,5.16584e+06
1736294400000,6.771,6.869,6.166,6.461,3.82839e+06
1736380800000,6.461,6.602,6.244,6.397,2.7444e+06
1736467200000,6.398,6.674,6.368,6.651,2.47227e+06
1736553600000,6.653,6.741,6.516,6.616,1.16848e+06
1736640000000,6.62,6.699,6.366,6.459,1.72358e+06
1736726400000,6.463,6.705,5.9,6.285,4.85776e+06
1736812800000,6.286,6.318,6.049,6.272,2.38616e+06
1736899200000,6.272,6.689,6.152,6.665,3.76036e+06
1736985600000,6.665,6.796,6.436,6.594,3.19147e+06
1737072000000,6.595,7.176,6.595,7.055,4.2561e+06
1737158400000,7.056,7.172,6.45,6.595,3.31649e+06
1737244800000,6.594,6.772,5.779,5.892,6.00354e+06
1737331200000,5.894,6.536,5.689,6.072,6.79337e+06
1737417600000,6.072,6.355,5.84,6.24,3.60583e+06
1737504000000,6.239,6.332,6.106,6.201,3.12304e+06
1737590400000,6.201,6.222,5.859,6.122,4.21103e+06
1737676800000,6.12,6.416,5.955,6.215,2.62742e+06
1737763200000,6.214,6.294,6.129,6.194,2.35316e+06
1737849600000,6.195,6.418,6.085,6.098,3.29268e+06
1737936000000,6.095,6.127,5.53,5.994,4.50841e+06
1738022400000,5.995,6.067,5.611,5.668,2.178e+06
1738108800000,5.665,5.981,5.653,5.823,2.70575e+06
1738195200000,5.822,6.275,5.77,6.213,2.17743e+06
1738281600000,6.213,6.416,6.117,6.242,2.5065e+06
1738368000000,6.242,6.416,5.793,5.818,2.10824e+06
1738454400000,5.817,5.937,4.644,4.882,6.59738e+06
1738540800000,4.882,4.969,3.65,4.927,1.65544e+07
1738627200000,4.926,4.978,4.403,4.69,6.30344e+06
1738713600000,4.69,4.844,4.63,4.676,3.79833e+06
1738800000000,4.676,4.735,4.358,4.408,4.58132e+06
1738886400000,4.408,4.675,4.255,4.373,5.43383e+06
1738972800000,4.373,4.592,4.323,4.569,1.82019e+06
1739059200000,4.568,4.786,4.389,4.57,3.32897e+06
1739145600000,4.569,4.841,4.437,4.819,2.75789e+06
1739232000000,4.818,4.982,4.633,4.704,3.14478e+06
1739318400000,4.705,5.104,4.534,5.067,4.03267e+06
1739404800000,5.07,5.149,4.927,4.99,2.78049e+06
1739491200000,4.99,5.09,4.865,4.91,4.48924e+06
1739577600000,4.91,5.043,4.794,4.83,2.53713e+06
1739664000000,4.831,4.877,4.73,4.765,1.85702e+06
1739750400000,4.766,4.947,4.708,4.815,2.89743e+06
1739836800000,4.815,4.897,4.444,4.573,2.76827e+06
1739923200000,4.573,4.707,4.489,4.689,1.83389e+06
1740009600000,4.689,4.975,4.667,4.924,2.6902e+06
1740096000000,4.925,5.083,4.677,4.771,3.18866e+06
1740182400000,4.771,5.029,4.742,4.965,2.32798e+06
1740268800000,4.965,5.018,4.826,4.878,1.56812e+06
1740355200000,4.878,4.899,4.265,4.358,3.48793e+06
1740441600000,4.358,4.549,4.107,4.457,4.88775e+06
1740528000000,4.456,4.695,4.415,4.609,3.37981e+06
1740614400000,4.609,4.781,4.475,4.572,2.15267e+06
1740700800000,4.573,4.668,4.208,4.635,3.91084e+06
1740787200000,4.636,4.662,4.423,4.494,1.31124e+06
1740873600000,4.495,4.928,4.409,4.907,3.59676e+06
1740960000000,4.908,4.951,4.144,4.226,3.74783e+06
1741046400000,4.226,4.253,3.885,4.161,5.05004e+06
1741132800000,4.161,4.353,4.097,4.325,2.28015e+06
1741219200000,4.327,4.439,4.23,4.256,1.88006e+06
1741305600000,4.256,4.444,4.071,4.263,3.12314e+06
1741392000000,4.263,4.276,4.073,4.109,1.35914e+06
1741478400000,4.109,4.132,3.743,3.806,2.43183e+06
1741564800000,3.807,4.042,3.571,3.58,4.14483e+06
1741651200000,3.581,3.993,3.386,3.884,5.43635e+06
1741737600000,3.884,3.976,3.753,3.887,2.87482e+06
1741824000000,3.887,3.965,3.784,3.91,2.01585e+06
1741910400000,3.909,4.318,3.893,4.29,2.63023e+06
1741996800000,4.289,4.722,4.23,4.649,3.964e+06
1742083200000,4.649,4.761,4.5,4.614,3.19984e+06
1742169600000,4.614,4.738,4.528,4.636,2.91822e+06
1742256000000,4.635,4.833,4.528,4.722,4.49594e+06
1742342400000,4.724,4.763,4.575,4.752,2.56653e+06
1742428800000,4.752,4.848,4.609,4.684,2.06224e+06
1742515200000,4.684,4.723,4.474,4.594,1.5598e+06
1742601600000,4.595,5.046,4.582,4.886,2.32308e+06
