OpenTime,Open,High,Low,Close,Volume
1736035200000,17.186,17.499,16.764,16.98,272666
1736121600000,16.982,17.238,15.832,16.122,315879
1736208000000,16.12,16.426,15.278,15.348,331468
1736294400000,15.353,16.22,14.272,14.907,554901
1736380800000,14.913,15.399,14.029,14.711,292488
1736467200000,14.71,15.365,14.25,14.984,234621
1736553600000,14.985,16.468,14.741,15.966,364446
1736640000000,15.966,16.706,15.601,16.138,208816
1736726400000,16.135,16.294,13.37,13.646,322730
1736812800000,13.639,17.346,13.268,16.809,775538
1736899200000,16.809,19.301,15.778,17.844,767035
1736985600000,17.845,17.987,16.194,16.417,303173
1737072000000,16.421,17.888,16.42,16.92,268153
1737158400000,16.923,17.655,16.295,17.47,367873
1737244800000,17.464,18.569,16.482,17.603,408323
1737331200000,17.587,19.821,17.236,18.78,710527
1737417600000,18.777,20.463,18.108,19.624,306133
1737504000000,19.622,21.386,19.139,19.576,342675
1737590400000,19.576,19.738,18.553,19.331,231109
1737676800000,19.314,20.138,18.458,18.575,259824
1737763200000,18.567,20.139,18.456,19.567,234312
1737849600000,19.579,20.596,19.4,19.621,157230
1737936000000,19.6,21.744,19.2,21.407,459784
1738022400000,21.409,21.881,18.986,19.415,250145
1738108800000,19.428,19.948,13.513,16.184,2.33078e+06
1738195200000,16.187,21.5,15.716,21.026,1.52644e+06
1738281600000,21.032,21.98,20.305,21.488,760842
1738368000000,21.487,22.386,20.643,21.055,396100
1738454400000,21.031,21.865,19.596,20.255,404768
1738540800000,20.261,24.199,19.413,23.976,958437
1738627200000,23.976,24.098,20.718,21.025,445760
1738713600000,21.03,22.11,20.466,20.777,353717
1738800000000,20.778,21.524,19.802,20.196,265319
1738886400000,20.195,21.092,19.588,20.664,235606
1738972800000,20.663,21.016,19.702,20.089,144344
1739059200000,20.09,22.811,18.692,19.573,634866
1739145600000,19.59,19.853,18.713,19.412,206635
1739232000000,19.412,19.698,18.74,19.105,300043
1739318400000,19.115,19.193,17.703,18.664,270694
1739404800000,18.669,18.731,17.341,17.651,171566
1739491200000,17.671,18.531,17.585,18.12,123791
1739577600000,18.123,18.471,17.548,17.818,124774
1739664000000,17.81,17.927,17.014,17.441,122949
1739750400000,17.439,18.207,17.331,18.043,95088.5
1739836800000,18.049,18.391,17.61,18.105,117338
1739923200000,18.106,18.83,17.866,18.799,139260
1740009600000,18.803,19.712,18.3,18.927,103283
1740096000000,18.927,19.394,17.971,18.215,133506
1740182400000,18.219,18.842,17.82,18.71,68926.9
1740268800000,18.709,19.567,18.27,18.621,91273.4
1740355200000,18.62,19.072,18.166,18.743,90398.2
1740441600000,18.749,21.3,18.677,19.947,217489
1740528000000,19.964,20.72,19.357,19.566,125575
1740614400000,19.581,19.997,17.226,17.534,227223
1740700800000,17.521,18.493,17.3,18.492,196094
1740787200000,18.492,18.867,17.71,18.195,105187
1740873600000,18.192,19.099,17.916,18.491,108537
1740960000000,18.495,18.734,17.8,17.815,137100
1741046400000,17.811,19.461,17.684,18.887,185705
1741132800000,18.88,19.799,18.094,18.94,100306
1741219200000,18.933,19.164,17.948,18.355,209498
1741305600000,18.352,18.6,17.966,18.43,92638.3
1741392000000,18.434,18.996,18.266,18.668,86918
1741478400000,18.668,18.872,17.722,17.772,68714
1741564800000,17.778,18.084,17.247,17.42,103298
1741651200000,17.427,17.755,17.252,17.576,72589.8
1741737600000,17.581,17.705,17.29,17.336,45618.5
1741824000000,17.348,17.469,17.204,17.415,42651.8
1741910400000,17.417,17.442,17.216,17.313,71494.4
1741996800000,17.307,17.464,17.27,17.405,30823.9
1742083200000,17.404,17.681,17.27,17.292,40512.5
1742169600000,17.296,17.437,17.043,17.11,53913.6
1742256000000,17.114,18.457,16.572,18.365,164038
1742342400000,18.365,19.188,18.135,19.057,162677
1742428800000,19.057,19.498,18.648,19.219,98882.2
1742515200000,19.214,19.317,18.567,18.663,76169.5
1742601600000,18.661,18.9,17.41,17.72,130185
1742688000000,17.722,17.728,16.6,17.37,152179
1742774400000,17.361,17.684,17.034,17.352,95631.3
1742860800000,17.363,17.667,17.2,17.5,52193.3
1742947200000,17.501,17.643,17.255,17.443,40408.8
1743033600000,17.448,18.287,17.358,17.855,138706
1743120000000,17.88,18.7,17.709,18.429,193871
1743206400000,18.451,18.798,17.14,17.564,174654
1743292800000,17.564,17.77,17.35,17.738,53094.1
1743379200000,17.74,18.253,17.321,17.92,79079.4
1743465600000,17.92,18.384,11.232,13.584,1.53922e+06
1743552000000,13.587,15.5,12.649,14.612,774792
1743638400000,14.611,15.474,14.529,14.983,202599
1743724800000,14.983,15.234,14.504,14.804,119381
1743811200000,14.807,14.895,14.393,14.775,88929.4
1743897600000,14.779,15.162,14.416,14.738,128687
1743984000000,14.738,16,13.8,15.561,208097
1744070400000,15.561,16.09,15.35,15.555,94135.4
1744156800000,15.566,16.157,15.411,15.806,92706
1744243200000,15.81,15.975,15.282,15.488,258316
1744329600000,15.487,15.527,14.5,14.797,235335
1744416000000,14.803,15.118,14.62,14.976,92804.1
1744502400000,14.974,15.237,14.29,14.753,106130
1744588800000,14.762,15,14.495,14.551,58484.5
