OpenTime,Open,High,Low,Close,Volume
1736035200000,7.678,7.735,7.46,7.671,3.86496e+06
1736121600000,7.672,7.988,7.54,7.768,7.08142e+06
1736208000000,7.77,7.888,7.006,7.014,1.20034e+07
1736294400000,7.013,7.136,6.421,6.76,1.21586e+07
1736380800000,6.759,6.847,6.454,6.559,7.2366e+06
1736467200000,6.558,6.81,6.482,6.732,6.64593e+06
1736553600000,6.731,6.878,6.582,6.742,3.1096e+06
1736640000000,6.741,6.817,6.542,6.632,2.24162e+06
1736726400000,6.632,6.808,6,6.396,1.01997e+07
1736812800000,6.397,6.69,6.367,6.665,5.17438e+06
1736899200000,6.668,7.196,6.558,7.165,9.17782e+06
1736985600000,7.166,7.393,6.847,7.15,1.07814e+07
1737072000000,7.154,7.6,7.152,7.503,8.01798e+06
1737158400000,7.504,7.589,6.839,7.043,8.52883e+06
1737244800000,7.043,7.237,6.11,6.247,1.84633e+07
1737331200000,6.246,7.109,6.054,6.381,2.19821e+07
1737417600000,6.381,6.845,6.155,6.622,8.25542e+06
1737504000000,6.623,6.696,6.412,6.447,4.67416e+06
1737590400000,6.447,6.503,6.191,6.351,6.9586e+06
1737676800000,6.351,6.546,6.203,6.32,4.63966e+06
1737763200000,6.319,6.41,6.246,6.323,3.41865e+06
1737849600000,6.323,6.47,6.166,6.177,3.8011e+06
1737936000000,6.176,6.212,5.485,5.953,1.29324e+07
1738022400000,5.953,6.037,5.6,5.649,5.04805e+06
1738108800000,5.648,5.881,5.544,5.768,6.04724e+06
1738195200000,5.767,6.257,5.722,6.125,5.32285e+06
1738281600000,6.125,6.499,6.029,6.321,8.66879e+06
1738368000000,6.322,6.492,5.861,5.905,6.99915e+06
1738454400000,5.906,6.048,4.863,5.153,1.7424e+07
1738540800000,5.155,5.28,3.78,5.176,4.43367e+07
1738627200000,5.177,5.229,4.581,4.742,1.61642e+07
1738713600000,4.743,4.865,4.628,4.689,6.6983e+06
1738800000000,4.689,4.838,4.441,4.49,6.62696e+06
1738886400000,4.49,4.938,4.459,4.593,9.79646e+06
1738972800000,4.594,4.765,4.499,4.745,4.65004e+06
1739059200000,4.745,4.878,4.511,4.762,7.03896e+06
1739145600000,4.763,4.92,4.608,4.845,7.05538e+06
1739232000000,4.846,5.21,4.749,4.809,9.66429e+06
1739318400000,4.809,5.332,4.752,5.227,1.5218e+07
1739404800000,5.228,5.277,5.067,5.131,6.37869e+06
1739491200000,5.132,5.378,5.1,5.17,6.59173e+06
1739577600000,5.17,5.22,4.976,5.022,4.18833e+06
1739664000000,5.022,5.047,4.826,4.88,3.66132e+06
1739750400000,4.88,5.07,4.776,4.89,6.06299e+06
1739836800000,4.89,4.918,4.56,4.769,7.47984e+06
1739923200000,4.77,4.908,4.699,4.886,4.65864e+06
1740009600000,4.886,5.069,4.881,5.047,6.20101e+06
1740096000000,5.047,5.339,4.952,5.061,1.14522e+07
1740182400000,5.062,5.216,5.025,5.043,5.84204e+06
1740268800000,5.043,5.135,4.905,4.953,3.67954e+06
1740355200000,4.953,4.981,4.336,4.416,9.86258e+06
1740441600000,4.416,4.758,4.138,4.64,1.9174e+07
1740528000000,4.64,4.931,4.591,4.754,1.21861e+07
1740614400000,4.755,5.183,4.714,4.934,1.32389e+07
1740700800000,4.934,4.935,4.454,4.712,1.49504e+07
1740787200000,4.713,4.819,4.525,4.664,6.30002e+06
