OpenTime,Open,High,Low,Close,Volume
1736035200000,5.641,5.976,5.5,5.912,7.35566e+06
1736121600000,5.913,6.304,5.786,5.986,1.5209e+07
1736208000000,5.986,6.104,5.333,5.352,1.33463e+07
1736294400000,5.353,5.488,4.9,5.112,1.20793e+07
1736380800000,5.111,5.191,4.911,5.051,1.01301e+07
1736467200000,5.051,5.262,5.012,5.209,7.59356e+06
1736553600000,5.209,5.315,5.103,5.203,3.35733e+06
1736640000000,5.203,5.236,5.017,5.087,2.91502e+06
1736726400000,5.088,5.23,4.607,4.921,1.33302e+07
1736812800000,4.921,5.25,4.905,5.212,5.78808e+06
1736899200000,5.212,5.678,5.112,5.653,1.0756e+07
1736985600000,5.654,5.79,5.387,5.617,1.18235e+07
1737072000000,5.618,5.957,5.618,5.831,8.65908e+06
1737158400000,5.832,5.87,5.322,5.446,1.27564e+07
1737244800000,5.446,5.615,4.844,4.98,2.03125e+07
1737331200000,4.98,5.48,4.827,5.106,2.22499e+07
1737417600000,5.107,5.349,4.886,5.255,8.77402e+06
1737504000000,5.256,5.305,4.963,5.001,6.19247e+06
1737590400000,5.002,5.148,4.861,5.062,7.6317e+06
1737676800000,5.063,5.201,4.897,5.014,5.27002e+06
1737763200000,5.015,5.079,4.926,4.983,3.44661e+06
1737849600000,4.982,5.188,4.853,4.862,3.86446e+06
1737936000000,4.861,4.865,4.347,4.661,1.54536e+07
1738022400000,4.661,4.726,4.325,4.385,5.25285e+06
1738108800000,4.385,4.648,4.366,4.514,5.73996e+06
1738195200000,4.514,4.899,4.475,4.808,5.47669e+06
1738281600000,4.808,4.963,4.68,4.812,6.1136e+06
1738368000000,4.811,4.876,4.328,4.372,4.55823e+06
1738454400000,4.372,4.465,3.3,3.601,2.21224e+07
1738540800000,3.604,3.605,2.594,3.507,5.08734e+07
1738627200000,3.506,3.522,3.118,3.334,1.73161e+07
1738713600000,3.335,3.385,3.191,3.242,8.09603e+06
1738800000000,3.241,3.356,3.084,3.121,9.1326e+06
1738886400000,3.121,3.382,3.074,3.188,8.73409e+06
1738972800000,3.187,3.327,3.148,3.306,4.38241e+06
1739059200000,3.306,3.387,3.158,3.311,4.86483e+06
1739145600000,3.31,3.47,3.19,3.429,7.63717e+06
1739232000000,3.429,3.537,3.267,3.339,5.79397e+06
1739318400000,3.339,3.531,3.175,3.478,1.14808e+07
1739404800000,3.479,3.51,3.345,3.403,4.91094e+06
1739491200000,3.403,3.628,3.387,3.527,5.22604e+06
1739577600000,3.527,3.569,3.381,3.417,2.69126e+06
1739664000000,3.416,3.489,3.36,3.398,3.33246e+06
1739750400000,3.399,3.514,3.313,3.436,5.20913e+06
1739836800000,3.435,3.438,3.133,3.23,8.52421e+06
1739923200000,3.23,3.345,3.192,3.326,4.11268e+06
1740009600000,3.327,3.527,3.315,3.495,5.42685e+06
1740096000000,3.494,3.607,3.253,3.321,8.68977e+06
1740182400000,3.321,3.456,3.303,3.434,3.3669e+06
1740268800000,3.435,3.507,3.374,3.413,3.56497e+06
1740355200000,3.414,3.437,2.94,3.015,1.13854e+07
1740441600000,3.016,3.18,2.8,3.142,1.45087e+07
1740528000000,3.142,3.222,3.007,3.149,8.70489e+06
1740614400000,3.151,3.345,3.127,3.262,6.63014e+06
1740700800000,3.261,3.328,2.993,3.249,1.21085e+07
1740787200000,3.249,3.299,3.136,3.243,3.70005e+06
1740873600000,3.243,3.597,3.183,3.566,1.16222e+07
1740960000000,3.564,3.585,2.998,3.071,1.28895e+07
1741046400000,3.071,3.086,2.767,3.016,1.6715e+07
1741132800000,3.015,3.181,2.974,3.135,7.65491e+06
1741219200000,3.135,3.202,3.044,3.087,6.67808e+06
1741305600000,3.086,3.226,2.908,3.117,1.12719e+07
1741392000000,3.116,3.164,3.034,3.102,4.12559e+06
1741478400000,3.103,3.123,2.739,2.787,8.32382e+06
1741564800000,2.788,2.974,2.592,2.643,1.08275e+07
1741651200000,2.645,2.807,2.439,2.742,1.39475e+07
1741737600000,2.742,2.87,2.673,2.789,7.15515e+06
1741824000000,2.788,2.84,2.664,2.748,5.17673e+06
1741910400000,2.749,2.918,2.74,2.885,4.89095e+06
1741996800000,2.887,2.98,2.859,2.948,2.78044e+06
1742083200000,2.949,2.955,2.814,2.834,3.59931e+06
1742169600000,2.835,3.082,2.832,3.022,6.65201e+06
1742256000000,3.023,3.03,2.82,2.924,6.53957e+06
1742342400000,2.924,3.096,2.919,3.087,5.87462e+06
1742428800000,3.087,3.104,2.974,3.049,4.50171e+06
1742515200000,3.049,3.075,2.87,2.918,3.97333e+06
1742601600000,2.918,3.057,2.913,2.99,3.37191e+06
1742688000000,2.99,3.031,2.964,3.028,1.98179e+06
1742774400000,3.026,3.2,2.996,3.129,6.68899e+06
1742860800000,3.129,3.158,3.089,3.131,3.07742e+06
1742947200000,3.133,3.21,3.003,3.026,4.66023e+06
1743033600000,3.027,3.111,2.959,3.021,3.58714e+06
1743120000000,3.021,3.047,2.779,2.828,5.12923e+06
1743206400000,2.828,2.853,2.699,2.745,4.31615e+06
1743292800000,2.744,2.796,2.706,2.755,2.9484e+06
1743379200000,2.756,2.813,2.699,2.778,4.24517e+06
1743465600000,2.778,2.945,2.776,2.837,5.53947e+06
1743552000000,2.836,2.906,2.648,2.702,7.16699e+06
1743638400000,2.701,2.783,2.605,2.73,4.8888e+06
1743724800000,2.732,3.459,2.684,2.765,3.16604e+07
1743811200000,2.765,2.777,2.654,2.697,4.44329e+06
1743897600000,2.698,2.709,2.325,2.376,8.40394e+06
1743984000000,2.376,2.47,2.112,2.369,1.94241e+07
1744070400000,2.369,2.421,2.243,2.266,6.66953e+06
1744156800000,2.265,2.536,2.175,2.474,8.85523e+06
1744243200000,2.473,2.481,2.303,2.348,4.8409e+06
1744329600000,2.347,2.472,2.331,2.455,5.12173e+06
1744416000000,2.455,2.588,2.418,2.561,5.55145e+06
1744502400000,2.562,2.575,2.441,2.494,4.54842e+06
1744588800000,2.494,2.6,2.486,2.568,4.76153e+06
