OpenTime,Open,High,Low,Close,Volume
1736035200000,12.297,12.31,11.863,12.121,1.45031e+06
1736121600000,12.121,12.509,11.82,12.191,2.06195e+06
1736208000000,12.189,12.362,11.011,11.027,2.30744e+06
1736294400000,11.027,11.249,10.356,10.855,2.56895e+06
1736380800000,10.854,11,9.959,10.127,2.37374e+06
1736467200000,10.127,10.849,10.096,10.33,2.31012e+06
1736553600000,10.332,10.685,10.069,10.48,1.29233e+06
1736640000000,10.487,10.562,10.113,10.229,1.11034e+06
1736726400000,10.233,10.537,9.292,9.78,2.72405e+06
1736812800000,9.783,10.28,9.743,10.231,1.50347e+06
1736899200000,10.236,11.061,10.031,11.034,2.21482e+06
1736985600000,11.032,11.244,10.431,10.809,2.97292e+06
1737072000000,10.813,11.464,10.81,11.351,2.21004e+06
1737158400000,11.354,11.481,10.464,10.632,2.5873e+06
1737244800000,10.634,10.956,9.679,9.893,5.2615e+06
1737331200000,9.896,10.825,9.494,9.799,4.42186e+06
1737417600000,9.799,10.154,9.33,9.87,2.64735e+06
1737504000000,9.869,9.965,9.009,9.104,4.19574e+06
1737590400000,9.104,9.452,8.974,9.233,2.86481e+06
1737676800000,9.235,9.415,8.911,9.051,1.85001e+06
1737763200000,9.052,9.296,8.914,9.207,1.14184e+06
1737849600000,9.208,9.326,8.79,8.807,1.27809e+06
1737936000000,8.807,9.038,8.063,8.897,4.30303e+06
1738022400000,8.897,9.128,8.441,8.546,1.5944e+06
1738108800000,8.547,8.869,8.309,8.581,1.98025e+06
1738195200000,8.58,9.261,8.472,9.14,1.73912e+06
1738281600000,9.141,9.755,9,9.287,2.31921e+06
1738368000000,9.288,9.407,8.4,8.496,1.46319e+06
1738454400000,8.497,8.728,7.075,7.487,4.20708e+06
1738540800000,7.491,7.738,5.585,7.64,9.99231e+06
1738627200000,7.64,7.701,6.784,7.032,3.99769e+06
1738713600000,7.036,7.237,6.838,6.992,1.83413e+06
1738800000000,6.991,7.192,6.635,6.711,2.08528e+06
1738886400000,6.712,7.238,6.639,6.795,2.10694e+06
1738972800000,6.79,7.057,6.623,7.014,1.56152e+06
1739059200000,7.014,7.15,6.613,6.95,1.64255e+06
1739145600000,6.949,7.217,6.718,7.009,1.66963e+06
1739232000000,7.01,7.43,6.919,7.089,2.10171e+06
1739318400000,7.087,7.478,6.848,7.396,2.2595e+06
1739404800000,7.397,7.417,6.977,7.125,2.13804e+06
1739491200000,7.128,7.415,7.102,7.234,1.76798e+06
1739577600000,7.234,7.314,7.02,7.107,1.14021e+06
1739664000000,7.106,7.136,6.894,6.996,1.98757e+06
1739750400000,6.993,7.244,6.882,7.059,1.30128e+06
1739836800000,7.058,7.079,6.558,6.761,1.4568e+06
1739923200000,6.761,6.94,6.669,6.852,1.40399e+06
1740009600000,6.852,7.179,6.8,7.144,1.62414e+06
1740096000000,7.143,7.458,6.836,6.986,1.88843e+06
1740182400000,6.986,7.262,6.952,7.194,1.16569e+06
1740268800000,7.195,7.261,6.96,7.065,1.13537e+06
1740355200000,7.066,7.105,6.37,6.393,2.0378e+06
1740441600000,6.394,6.434,5.88,6.339,3.82652e+06
1740528000000,6.34,6.614,6.152,6.392,2.25199e+06
1740614400000,6.393,6.823,6.331,6.667,1.61293e+06
1740700800000,6.667,6.678,6.006,6.514,2.69743e+06
1740787200000,6.515,6.648,6.313,6.588,1.05166e+06
1740873600000,6.588,7.243,6.512,7.228,2.73600e+06
1740960000000,7.228,7.274,6.086,6.173,2.62385e+06
1741046400000,6.173,6.213,5.624,6.029,2.82606e+06
1741132800000,6.028,6.406,5.948,6.371,1.84497e+06
1741219200000,6.37,6.465,6.107,6.193,1.22969e+06
1741305600000,6.195,6.353,5.857,6.071,2.00981e+06
1741392000000,6.071,6.099,5.869,5.953,904959
1741478400000,5.954,5.998,5.337,5.427,1.7684e+06
1741564800000,5.427,5.793,5.01,5.093,2.20282e+06
1741651200000,5.095,5.522,4.834,5.417,2.34463e+06
1741737600000,5.418,5.584,5.24,5.482,1.33315e+06
1741824000000,5.482,5.64,5.274,5.451,1.41803e+06
1741910400000,5.451,5.736,5.424,5.66,1.17371e+06
1741996800000,5.661,5.923,5.622,5.827,1.35133e+06
1742083200000,5.828,5.871,5.508,5.568,1.17767e+06
1742169600000,5.569,6.092,5.562,5.891,1.58871e+06
1742256000000,5.892,5.909,5.601,5.811,1.48693e+06
1742342400000,5.812,6.009,5.784,5.988,1.70706e+06
1742428800000,5.988,6.011,5.707,5.744,1.20203e+06
1742515200000,5.744,5.791,5.615,5.652,881994
1742601600000,5.655,5.832,5.607,5.754,936381
1742688000000,5.754,5.856,5.711,5.834,870811
1742774400000,5.834,6.111,5.759,6.053,1.25026e+06
1742860800000,6.051,6.238,5.943,6.199,1.23395e+06
1742947200000,6.198,6.372,6.003,6.079,1.37329e+06
1743033600000,6.081,6.192,5.94,6.098,975642
1743120000000,6.098,6.127,5.55,5.598,1.30341e+06
1743206400000,5.6,5.645,5.261,5.349,924441
1743292800000,5.349,5.459,5.197,5.27,913858
1743379200000,5.273,5.403,5.077,5.311,1.09803e+06
1743465600000,5.31,5.582,5.281,5.413,1.36461e+06
1743552000000,5.413,5.499,4.973,5.012,1.57151e+06
1743638400000,5.012,5.241,4.923,5.139,1.48474e+06
1743724800000,5.141,5.246,4.975,5.058,1.3856e+06
1743811200000,5.059,5.097,4.937,5.053,940880
1743897600000,5.054,5.085,4.458,4.587,2.06227e+06
1743984000000,4.588,4.836,4.183,4.633,3.64509e+06
1744070400000,4.631,4.826,4.479,4.622,2.29752e+06
1744156800000,4.623,5.045,4.486,4.984,2.68444e+06
1744243200000,4.984,5.051,4.724,4.809,1.24636e+06
1744329600000,4.809,5.086,4.804,5.04,1.45524e+06
1744416000000,5.04,5.276,5.018,5.233,1.00228e+06
1744502400000,5.232,5.257,4.961,5.006,1.1655e+06
1744588800000,5.006,5.135,4.825,4.906,1.55624e+06
