OpenTime,Open,High,Low,Close,Volume
1736035200000,23.6,23.83,22.85,23.58,2.51661e+06
1736121600000,23.58,24.78,23.01,23.83,5.87185e+06
1736208000000,23.83,23.84,21.18,21.38,7.60358e+06
1736294400000,21.39,21.73,19.59,20.44,6.79111e+06
1736380800000,20.44,20.73,19.14,19.65,5.4701e+06
1736467200000,19.64,20.54,19.53,20.24,5.07903e+06
1736553600000,20.25,20.69,19.81,20.21,2.57589e+06
1736640000000,20.21,20.34,19.59,19.84,2.3542e+06
1736726400000,19.85,20.44,17.83,19.35,8.92957e+06
1736812800000,19.36,20.51,19.25,20.32,4.23498e+06
1736899200000,20.33,22.15,20.1,22.1,7.19338e+06
1736985600000,22.1,23.78,21.3,23.03,8.10034e+06
1737072000000,23.03,25.23,23.02,25.09,5.33394e+06
1737158400000,25.1,25.67,23.37,24.12,7.18089e+06
1737244800000,24.12,26.71,22.19,24.34,1.85102e+07
1737331200000,24.34,26.94,23.4,25.09,2.16889e+07
1737417600000,25.08,27.09,23.68,26.67,1.05097e+07
1737504000000,26.67,27.21,25.13,25.3,4.29863e+06
1737590400000,25.29,26.25,23.98,25.65,6.65826e+06
1737676800000,25.66,26.44,24.86,25.18,4.57197e+06
1737763200000,25.17,25.44,24.68,24.93,2.76794e+06
1737849600000,24.93,26.39,24.86,24.88,3.5305e+06
1737936000000,24.88,25.14,22.18,24.21,9.45169e+06
1738022400000,24.22,24.66,22.36,22.61,4.33892e+06
1738108800000,22.62,24.45,22.32,23.66,5.4292e+06
1738195200000,23.66,25.21,23.41,24.46,4.13878e+06
1738281600000,24.46,26.4,24.12,25.17,5.6242e+06
1738368000000,25.16,25.99,22.76,22.98,4.59584e+06
1738454400000,22.98,23.33,19.29,20.46,1.25573e+07
1738540800000,20.47,22.05,15.4,21.64,3.12911e+07
1738627200000,21.64,21.71,19.32,19.97,1.03012e+07
1738713600000,19.98,20.27,18.96,19.19,5.96466e+06
1738800000000,19.19,19.94,18.41,18.58,4.58253e+06
1738886400000,18.59,19.86,17.79,18.39,5.90819e+06
1738972800000,18.39,18.63,17.87,18.45,2.48742e+06
1739059200000,18.44,19,17.44,18.26,3.35384e+06
1739145600000,18.26,19.13,17.67,18.81,3.71309e+06
1739232000000,18.8,19.79,18.22,18.66,4.26352e+06
1739318400000,18.65,19.51,17.64,19.2,5.63356e+06
1739404800000,19.2,19.34,18.18,18.56,2.54941e+06
1739491200000,18.56,19.84,18.45,19.38,3.27363e+06
1739577600000,19.39,19.67,18.73,18.99,1.67906e+06
1739664000000,19,19.26,18.56,18.69,1.82894e+06
1739750400000,18.7,19.8,18.36,19.12,3.64308e+06
1739836800000,19.12,19.2,17.28,17.88,4.50534e+06
1739923200000,17.88,18.21,17.44,17.98,2.67515e+06
1740009600000,17.98,18.48,17.81,18.28,2.732e+06
1740096000000,18.28,19.06,17.12,17.43,4.5879e+06
1740182400000,17.43,18.03,17.3,17.76,2.05564e+06
1740268800000,17.76,18.13,17.42,17.62,1.72002e+06
1740355200000,17.62,17.75,14.97,15.26,5.29302e+06
1740441600000,15.26,15.59,14.02,15.31,1.02281e+07
1740528000000,15.31,15.78,14.67,15.26,6.14442e+06
1740614400000,15.26,15.78,14.78,15.1,3.36654e+06
1740700800000,15.11,15.2,13.45,14.81,6.7226e+06
1740787200000,14.81,15.14,14.22,14.75,2.76888e+06
1740873600000,14.75,17.55,14.4,17.42,7.91511e+06
1740960000000,17.42,17.49,14.36,14.46,8.25741e+06
1741046400000,14.46,15.36,13.08,14.86,1.03264e+07
1741132800000,14.87,16.59,14.63,16.43,8.11673e+06
1741219200000,16.43,17.67,16.37,17.06,8.69708e+06
1741305600000,17.06,17.54,15.73,15.94,1.02991e+07
1741392000000,15.95,16.04,15.13,15.26,3.13431e+06
1741478400000,15.27,15.37,13.6,13.81,4.24884e+06
1741564800000,13.81,14.57,12.41,12.65,7.67702e+06
1741651200000,12.66,13.66,11.85,13.13,1.00166e+07
1741737600000,13.14,13.81,12.64,13.49,6.32796e+06
1741824000000,13.49,13.6,12.71,13.04,4.14175e+06
1741910400000,13.04,14.71,12.99,13.66,1.27553e+07
1741996800000,13.66,14.25,13.63,14.01,3.40828e+06
1742083200000,14.02,14.19,13.21,13.37,2.78011e+06
1742169600000,13.38,14.24,13.34,14.03,3.31948e+06
1742256000000,14.03,14.28,13.46,13.91,2.92203e+06
1742342400000,13.92,15.05,13.77,15.03,5.08277e+06
1742428800000,15.03,15.17,14.08,14.22,3.09291e+06
1742515200000,14.22,14.39,13.82,13.97,1.75169e+06
1742601600000,13.96,14.5,13.93,14.25,1.47476e+06
1742688000000,14.25,14.5,14.21,14.47,1.40112e+06
1742774400000,14.46,15.41,14.16,15.13,3.50946e+06
1742860800000,15.13,15.61,14.87,15.44,2.21973e+06
1742947200000,15.43,16,14.94,15.24,3.1509e+06
1743033600000,15.25,15.8,15.17,15.52,2.49973e+06
1743120000000,15.53,15.59,14,14.25,3.53217e+06
1743206400000,14.25,14.42,13.37,13.55,2.4139e+06
1743292800000,13.56,13.87,13.19,13.41,2.0614e+06
1743379200000,13.42,13.72,12.96,13.51,2.66461e+06
1743465600000,13.5,14.4,13.49,14.04,2.66971e+06
1743552000000,14.04,14.4,12.81,12.9,6.81439e+06
1743638400000,12.9,13.31,12.3,12.9,5.13972e+06
1743724800000,12.9,13.2,12.35,12.94,4.55915e+06
1743811200000,12.94,13.06,12.57,12.85,1.41478e+06
1743897600000,12.84,12.96,11,11.28,4.37064e+06
1743984000000,11.29,11.89,10.1,11.45,1.34093e+07
1744070400000,11.46,11.89,10.78,10.93,4.38412e+06
1744156800000,10.93,12.82,10.44,12.65,8.98089e+06
1744243200000,12.65,12.67,11.68,12.08,4.13825e+06
1744329600000,12.07,12.9,12.02,12.64,3.32359e+06
1744416000000,12.64,13.29,12.47,13.15,2.46834e+06
1744502400000,13.15,13.23,12.43,12.62,3.1543e+06
1744588800000,12.63,13.25,12.57,12.85,2.3827e+06
