OpenTime,Open,High,Low,Close,Volume
1736035200000,111.22,116.17,110.58,115.72,371536
1736121600000,115.72,117.38,111.64,114.01,662970
1736208000000,114,114.9,102.07,102.72,828383
1736294400000,102.71,105.03,97.21,101.43,730220
1736380800000,101.43,105.85,99.88,102.23,661928
1736467200000,102.23,106.27,102.06,103.96,518210
1736553600000,103.94,104.97,102.17,104.39,310730
1736640000000,104.4,105.27,101.35,102.34,293040
1736726400000,102.35,104.47,92.57,98.37,753144
1736812800000,98.38,102.57,97.52,102.45,428319
1736899200000,102.45,118.68,100.75,116.96,1.02465e+06
1736985600000,116.96,130.49,114.04,124.41,2.98688e+06
1737072000000,124.44,141.22,124.44,137.04,2.60798e+06
1737158400000,137.04,139.6,123.23,125.4,1.82995e+06
1737244800000,125.41,128.66,111,115.57,2.29469e+06
1737331200000,115.56,127.97,112.88,118.58,1.89968e+06
1737417600000,118.58,124.88,113.69,119.11,1.10443e+06
1737504000000,119.11,120.27,114.22,115.38,642663
1737590400000,115.38,117.21,111.24,116.42,654578
1737676800000,116.42,122.99,112.82,118.71,987345
1737763200000,118.71,129.35,118.04,123.92,1.39089e+06
1737849600000,123.93,125.1,116.9,117.11,568152
1737936000000,117.07,117.89,106.17,115.06,1.21159e+06
1738022400000,115.05,116.95,109.1,109.92,691854
1738108800000,109.92,119.49,109.85,115.9,799397
1738195200000,115.9,134,114.22,130.15,1.914e+06
1738281600000,130.15,135.32,125.21,128.09,1.14906e+06
1738368000000,128.09,131.24,117.62,118.04,1.18324e+06
1738454400000,118.05,121.41,104.02,109.12,1.56946e+06
1738540800000,109.13,109.16,80.04,106.91,3.61476e+06
1738627200000,106.91,108.76,98.42,101.07,1.30395e+06
1738713600000,101.08,109.45,100.47,103.38,1.04792e+06
1738800000000,103.38,109.66,99.49,101.66,1.11934e+06
1738886400000,101.66,108.13,100.57,103.11,852000
1738972800000,103.11,105.17,101.75,104.69,490464
1739059200000,104.69,109.18,102.28,107.2,748420
1739145600000,107.2,122.48,107.13,120.21,1.86312e+06
1739232000000,120.21,132.48,117.81,119.27,2.4708e+06
1739318400000,119.26,125,111.33,122.04,1.59788e+06
1739404800000,122.05,129.32,118.85,126.61,1.38849e+06
1739491200000,126.62,133.87,124.39,124.91,1.57665e+06
1739577600000,124.9,135,124.31,133.86,1.33997e+06
1739664000000,133.86,137.5,125.04,125.71,1.38327e+06
1739750400000,125.72,128.86,120,122.31,1.34903e+06
1739836800000,122.31,129.85,119.85,129.75,1.51139e+06
1739923200000,129.75,140,129.7,134.88,2.09325e+06
1740009600000,134.88,135.23,125.86,130.82,1.67308e+06
1740096000000,130.82,140.17,123.65,128.1,2.6694e+06
1740182400000,128.1,131.2,125.58,125.9,941457
1740268800000,125.91,130.44,125.17,129.85,585876
1740355200000,129.86,130.5,112.01,114.77,1.44303e+06
1740441600000,114.78,117.32,106.08,114.55,2.04637e+06
1740528000000,114.55,128.94,113.96,124.68,2.5212e+06
1740614400000,124.68,132,121.73,126.86,2.24561e+06
1740700800000,126.86,129.59,114.05,128.04,2.5547e+06
1740787200000,128.03,131,122.93,124.31,868230
1740873600000,124.31,130,117.46,127.89,1.99144e+06
1740960000000,127.89,130.4,106.7,109.89,2.29026e+06
1741046400000,109.9,110.94,93.93,103.66,2.52149e+06
1741132800000,103.65,106.87,100.61,104.73,963325
1741219200000,104.73,113,102.11,103.39,1.16834e+06
1741305600000,103.39,106.68,97.29,103.71,1.16661e+06
1741392000000,103.71,109.05,101.77,102.34,579081
1741478400000,102.34,102.77,93.61,94.62,904938
1741564800000,94.63,99.1,86.26,87.48,1.23762e+06
1741651200000,87.49,93.29,83.28,90.46,1.26478e+06
1741737600000,90.45,93,87.3,91.51,689535
1741824000000,91.5,91.77,86.28,88.08,626973
1741910400000,88.09,92.84,87.81,91.31,509121
1741996800000,91.32,94.25,90.96,92.47,492267
1742083200000,92.47,92.69,88.34,90.22,492339
1742169600000,90.22,95,90.21,92.3,849605
1742256000000,92.3,92.33,87.1,90.03,682016
1742342400000,90.03,94.25,89.31,94.09,743820
1742428800000,94.09,94.57,90.07,93.29,609071
1742515200000,93.29,93.94,90.82,90.84,444858
1742601600000,90.83,92.22,90.38,91.37,277045
1742688000000,91.37,93,90.63,91.48,274595
1742774400000,91.48,95.6,90.81,93.77,688314
1742860800000,93.77,94.77,91.9,94.36,508200
1742947200000,94.36,96.52,90.9,92.42,574644
1743033600000,92.42,95.02,92.17,92.79,427381
1743120000000,92.79,93.43,85.71,87.35,632464
1743206400000,87.36,88.04,84.16,85.46,470788
1743292800000,85.46,86.81,84.68,86.1,249995
1743379200000,86.11,86.27,80.8,82.97,611862
1743465600000,82.98,85.9,82.86,84.48,426671
1743552000000,84.48,88.56,80.95,81.54,785400
1743638400000,81.53,84.8,80.12,83.45,547849
1743724800000,83.45,85.12,81.61,84.41,441032
1743811200000,84.41,84.98,81.62,82.67,172010
1743897600000,82.68,83.13,68.41,70.62,906448
1743984000000,70.63,73.04,63.08,70.99,1.85262e+06
1744070400000,70.99,73.53,68.24,69.15,748219
1744156800000,69.16,78.55,66.51,76.03,1.12671e+06
1744243200000,76.03,76.12,71.07,73.81,575482
1744329600000,73.81,77.55,73.73,76.19,453547
1744416000000,76.19,80.11,74.92,78.62,455461
1744502400000,78.63,80.03,76.41,77.85,364958
1744588800000,77.85,80.67,75.66,76.86,402036
