OpenTime,Open,High,Low,Close,Volume
1736035200000,5.79,5.984,5.622,5.908,5.78058e+06
1736121600000,5.907,6.232,5.782,6.016,9.17739e+06
1736208000000,6.015,6.026,5.346,5.365,1.09827e+07
1736294400000,5.364,5.45,4.865,5.153,1.35559e+07
1736380800000,5.154,5.22,4.838,4.978,1.02773e+07
1736467200000,4.977,5.151,4.882,5.085,8.94612e+06
1736553600000,5.085,5.167,4.988,5.087,4.43333e+06
1736640000000,5.087,5.126,4.91,4.973,4.00345e+06
1736726400000,4.973,5.095,4.413,4.751,1.81994e+07
1736812800000,4.752,5.059,4.702,5.054,8.20389e+06
1736899200000,5.054,5.338,4.862,5.317,1.26999e+07
1736985600000,5.317,5.36,5.088,5.16,1.18522e+07
1737072000000,5.161,5.796,5.161,5.754,1.22942e+07
1737158400000,5.755,5.884,5.3,5.445,1.21685e+07
1737244800000,5.445,5.654,4.886,4.981,2.28644e+07
1737331200000,4.981,5.637,4.756,5.1,3.09641e+07
1737417600000,5.1,5.349,4.881,5.251,1.5169e+07
1737504000000,5.251,5.299,5.068,5.096,8.80548e+06
1737590400000,5.097,5.126,4.857,4.98,1.32314e+07
1737676800000,4.981,5.18,4.844,5.003,1.12106e+07
1737763200000,5.002,5.027,4.866,4.928,5.60869e+06
1737849600000,4.928,5.145,4.748,4.759,7.72882e+06
1737936000000,4.758,4.773,4.358,4.639,1.66859e+07
1738022400000,4.64,4.683,4.253,4.284,7.25017e+06
1738108800000,4.283,4.582,4.265,4.418,9.27811e+06
1738195200000,4.419,4.677,4.369,4.603,7.47792e+06
1738281600000,4.603,4.847,4.533,4.619,8.84966e+06
1738368000000,4.619,4.686,4.224,4.258,7.44236e+06
1738454400000,4.258,4.343,3.51,3.75,2.41543e+07
1738540800000,3.751,3.797,2.701,3.775,5.49945e+07
1738627200000,3.775,3.799,3.275,3.394,2.08121e+07
1738713600000,3.394,3.479,3.237,3.279,1.10244e+07
1738800000000,3.279,3.384,3.116,3.143,1.68717e+07
1738886400000,3.144,3.409,3.108,3.206,1.09834e+07
1738972800000,3.206,3.317,3.159,3.286,1.21486e+07
1739059200000,3.286,3.476,3.033,3.178,1.39524e+07
1739145600000,3.179,3.307,3.065,3.208,1.67434e+07
1739232000000,3.208,3.389,3.129,3.202,1.29315e+07
1739318400000,3.202,3.471,3.099,3.43,2.11241e+07
1739404800000,3.431,3.445,3.252,3.376,1.07813e+07
1739491200000,3.377,3.632,3.339,3.551,1.30874e+07
1739577600000,3.552,3.609,3.375,3.405,7.52471e+06
1739664000000,3.405,3.555,3.36,3.416,8.00857e+06
1739750400000,3.416,3.507,3.218,3.259,1.35331e+07
1739836800000,3.258,3.313,3.026,3.14,1.11138e+07
1739923200000,3.139,3.194,3.059,3.158,8.51349e+06
1740009600000,3.158,3.507,3.144,3.467,1.62725e+07
1740096000000,3.468,3.634,3.219,3.31,1.51008e+07
1740182400000,3.311,3.644,3.294,3.468,1.208e+07
1740268800000,3.469,3.5,3.351,3.433,6.39552e+06
1740355200000,3.433,3.461,3.027,3.065,1.46561e+07
1740441600000,3.065,3.094,2.753,3.009,2.6052e+07
1740528000000,3.009,3.107,2.882,3.023,1.3035e+07
1740614400000,3.024,3.179,3.001,3.058,1.16957e+07
1740700800000,3.059,3.102,2.766,3.066,1.97956e+07
1740787200000,3.067,3.324,3.05,3.272,1.169e+07
1740873600000,3.271,3.563,3.174,3.554,2.12307e+07
1740960000000,3.554,3.565,2.916,2.972,2.36052e+07
1741046400000,2.973,2.981,2.559,2.811,3.25912e+07
1741132800000,2.812,3.048,2.776,2.989,1.63032e+07
1741219200000,2.99,3.249,2.953,3.056,1.6892e+07
1741305600000,3.055,3.098,2.884,2.942,2.7726e+07
1741392000000,2.942,2.974,2.828,2.885,8.63868e+06
1741478400000,2.886,2.902,2.495,2.553,1.35803e+07
1741564800000,2.554,2.676,2.24,2.285,2.47497e+07
1741651200000,2.286,2.565,2.14,2.449,2.49457e+07
1741737600000,2.45,2.575,2.347,2.556,1.64581e+07
1741824000000,2.556,2.657,2.479,2.572,1.31848e+07
1741910400000,2.572,2.715,2.553,2.608,2.15383e+07
1741996800000,2.608,2.696,2.602,2.642,7.40668e+06
1742083200000,2.643,2.668,2.486,2.516,1.00744e+07
1742169600000,2.516,2.685,2.507,2.637,1.02011e+07
1742256000000,2.637,2.654,2.503,2.586,8.11745e+06
1742342400000,2.585,2.823,2.56,2.791,1.91585e+07
1742428800000,2.79,2.814,2.676,2.741,7.58815e+06
1742515200000,2.742,2.782,2.684,2.715,5.26808e+06
1742601600000,2.715,2.795,2.712,2.732,4.21536e+06
1742688000000,2.732,2.796,2.714,2.778,3.69725e+06
1742774400000,2.778,3.032,2.759,2.921,1.12472e+07
1742860800000,2.922,3.076,2.897,3.026,7.61224e+06
1742947200000,3.026,3.074,2.934,2.984,7.24911e+06
1743033600000,2.985,3.093,2.938,3.013,7.3974e+06
1743120000000,3.013,3.041,2.667,2.734,1.20645e+07
1743206400000,2.733,2.772,2.521,2.566,9.03872e+06
1743292800000,2.567,2.776,2.546,2.593,9.51672e+06
1743379200000,2.594,2.632,2.468,2.509,1.3149e+07
1743465600000,2.509,2.699,2.482,2.649,9.74099e+06
1743552000000,2.65,2.74,2.404,2.449,1.55297e+07
1743638400000,2.45,2.55,2.363,2.509,1.22595e+07
1743724800000,2.51,2.573,2.4,2.508,1.23344e+07
1743811200000,2.507,2.533,2.403,2.443,4.19484e+06
1743897600000,2.443,2.454,2.11,2.162,1.16971e+07
1743984000000,2.162,2.26,1.978,2.118,3.44865e+07
1744070400000,2.119,2.17,1.876,1.908,2.19309e+07
1744156800000,1.908,2.147,1.821,2.102,3.55293e+07
1744243200000,2.102,2.106,1.932,2.004,1.52206e+07
1744329600000,2.003,2.122,2,2.089,1.12733e+07
1744416000000,2.089,2.236,2.06,2.212,9.62714e+06
1744502400000,2.213,2.247,2.077,2.094,9.81966e+06
1744588800000,2.095,2.21,2.076,2.133,1.3542e+07
