OpenTime,Open,High,Low,Close,Volume
1736035200000,2.113e-05,2.139e-05,2.032e-05,2.072e-05,7.07309e+12
1736121600000,2.071e-05,2.139e-05,2.026e-05,2.078e-05,1.02022e+13
1736208000000,2.078e-05,2.084e-05,1.845e-05,1.859e-05,1.87636e+13
1736294400000,1.859e-05,1.893e-05,1.701e-05,1.782e-05,1.76698e+13
1736380800000,1.782e-05,1.81e-05,1.663e-05,1.701e-05,1.65598e+13
1736467200000,1.701e-05,1.791e-05,1.699e-05,1.764e-05,1.6319e+13
1736553600000,1.764e-05,1.848e-05,1.747e-05,1.802e-05,6.4396e+12
1736640000000,1.802e-05,1.804e-05,1.748e-05,1.775e-05,5.01192e+12
1736726400000,1.775e-05,1.829e-05,1.561e-05,1.686e-05,2.33425e+13
1736812800000,1.685e-05,1.764e-05,1.679e-05,1.746e-05,1.07281e+13
1736899200000,1.747e-05,1.922e-05,1.686e-05,1.907e-05,1.66826e+13
1736985600000,1.907e-05,1.926e-05,1.795e-05,1.812e-05,1.51987e+13
1737072000000,1.813e-05,2.054e-05,1.813e-05,2.03e-05,2.16684e+13
1737158400000,2.03e-05,2.103e-05,1.81e-05,1.845e-05,2.49078e+13
1737244800000,1.845e-05,1.9e-05,1.52e-05,1.604e-05,6.28825e+13
1737331200000,1.604e-05,1.76e-05,1.512e-05,1.58e-05,5.91034e+13
1737417600000,1.58e-05,1.637e-05,1.473e-05,1.59e-05,2.71437e+13
1737504000000,1.59e-05,1.619e-05,1.5e-05,1.515e-05,1.28176e+13
1737590400000,1.515e-05,1.559e-05,1.43e-05,1.532e-05,2.11251e+13
1737676800000,1.533e-05,1.618e-05,1.458e-05,1.494e-05,1.62488e+13
1737763200000,1.495e-05,1.54e-05,1.459e-05,1.504e-05,8.02916e+12
1737849600000,1.504e-05,1.52e-05,1.394e-05,1.402e-05,9.09805e+12
1737936000000,1.402e-05,1.402e-05,1.21e-05,1.311e-05,3.63116e+13
1738022400000,1.312e-05,1.336e-05,1.133e-05,1.145e-05,1.72914e+13
1738108800000,1.145e-05,1.334e-05,1.136e-05,1.239e-05,3.07641e+13
1738195200000,1.24e-05,1.35e-05,1.222e-05,1.293e-05,1.55933e+13
1738281600000,1.294e-05,1.478e-05,1.275e-05,1.386e-05,2.68813e+13
1738368000000,1.386e-05,1.43e-05,1.206e-05,1.224e-05,1.93064e+13
1738454400000,1.225e-05,1.253e-05,9.99e-06,1.078e-05,4.17914e+13
1738540800000,1.078e-05,1.144e-05,7.96e-06,1.1e-05,8.68787e+13
1738627200000,1.1e-05,1.11e-05,9.65e-06,1.015e-05,3.39135e+13
1738713600000,1.016e-05,1.046e-05,9.74e-06,1.001e-05,1.6978e+13
1738800000000,1.001e-05,1.039e-05,9.11e-06,9.22e-06,2.23992e+13
1738886400000,9.21e-06,9.84e-06,8.45e-06,8.93e-06,2.57888e+13
1738972800000,8.93e-06,9.69e-06,8.87e-06,9.57e-06,1.92379e+13
1739059200000,9.56e-06,9.85e-06,8.91e-06,9.54e-06,1.50252e+13
1739145600000,9.53e-06,9.96e-06,9.15e-06,9.59e-06,1.80572e+13
1739232000000,9.59e-06,1.061e-05,9.38e-06,9.59e-06,2.51285e+13
1739318400000,9.58e-06,1.027e-05,9.05e-06,1.009e-05,2.9356e+13
1739404800000,1.009e-05,1.025e-05,9.44e-06,9.68e-06,1.41235e+13
1739491200000,9.69e-06,1.076e-05,9.62e-06,1.03e-05,1.69323e+13
1739577600000,1.03e-05,1.038e-05,9.82e-06,9.94e-06,7.69392e+12
1739664000000,9.94e-06,1.004e-05,9.57e-06,9.7e-06,6.59755e+12
1739750400000,9.7e-06,1.067e-05,9.5e-06,1.012e-05,2.19464e+13
1739836800000,1.011e-05,1.02e-05,8.91e-06,9.26e-06,2.00439e+13
1739923200000,9.27e-06,9.57e-06,9.12e-06,9.36e-06,1.03313e+13
1740009600000,9.36e-06,9.71e-06,9.3e-06,9.62e-06,1.0873e+13
1740096000000,9.62e-06,1.015e-05,9.04e-06,9.13e-06,1.85827e+13
1740182400000,9.12e-06,9.73e-06,9.07e-06,9.63e-06,1.1947e+13
1740268800000,9.62e-06,9.81e-06,9.21e-06,9.35e-06,1.20926e+13
1740355200000,9.35e-06,9.43e-06,7.62e-06,7.89e-06,2.44682e+13
1740441600000,7.89e-06,8.43e-06,7.31e-06,8.25e-06,4.03311e+13
1740528000000,8.25e-06,8.51e-06,7.82e-06,8.33e-06,2.2218e+13
1740614400000,8.33e-06,8.6e-06,8.06e-06,8.21e-06,1.94158e+13
1740700800000,8.21e-06,8.26e-06,7.26e-06,7.92e-06,2.94199e+13
1740787200000,7.93e-06,8e-06,7.36e-06,7.59e-06,1.61753e+13
1740873600000,7.59e-06,8.95e-06,7.55e-06,8.83e-06,3.90659e+13
1740960000000,8.84e-06,8.88e-06,7.06e-06,7.23e-06,3.28095e+13
1741046400000,7.23e-06,7.29e-06,6.27e-06,6.99e-06,4.35327e+13
1741132800000,6.99e-06,7.36e-06,6.81e-06,7.08e-06,1.77535e+13
1741219200000,7.07e-06,7.35e-06,6.76e-06,6.83e-06,1.57472e+13
1741305600000,6.84e-06,7.36e-06,6.42e-06,6.98e-06,2.66401e+13
