OpenTime,Open,High,Low,Close,Volume
1736035200000,0.5236,0.5262,0.506,0.5167,2.07582e+07
1736121600000,0.5169,0.5386,0.508,0.5248,3.03192e+07
1736208000000,0.5247,0.5268,0.4667,0.4697,5.13717e+07
1736294400000,0.4698,0.4759,0.4385,0.4638,4.69811e+07
1736380800000,0.4638,0.4672,0.439,0.4489,3.24324e+07
1736467200000,0.4489,0.4647,0.445,0.4578,2.51764e+07
1736553600000,0.4577,0.4646,0.4507,0.4596,1.37046e+07
1736640000000,0.4597,0.4635,0.445,0.4504,1.20493e+07
1736726400000,0.4505,0.4601,0.4093,0.439,4.88894e+07
1736812800000,0.4392,0.4584,0.4368,0.4556,1.93012e+07
1736899200000,0.4556,0.4888,0.447,0.4874,3.77907e+07
1736985600000,0.4874,0.4891,0.4673,0.4736,3.88121e+07
1737072000000,0.4737,0.517,0.4737,0.5076,4.41217e+07
1737158400000,0.5077,0.5135,0.4692,0.4832,5.66781e+07
1737244800000,0.4832,0.4947,0.4343,0.4454,9.63877e+07
1737331200000,0.4454,0.4895,0.429,0.4421,1.08578e+08
1737417600000,0.4419,0.4647,0.4281,0.4528,4.68659e+07
1737504000000,0.4526,0.4558,0.4393,0.4421,2.2419e+07
1737590400000,0.4423,0.448,0.4291,0.4418,4.14999e+07
1737676800000,0.4418,0.4498,0.4273,0.433,3.52519e+07
1737763200000,0.4331,0.4389,0.4285,0.4345,1.73523e+07
1737849600000,0.4344,0.4478,0.4326,0.4346,2.53244e+07
1737936000000,0.4344,0.4397,0.3896,0.4152,6.69781e+07
1738022400000,0.4152,0.4191,0.3858,0.3905,3.10539e+07
1738108800000,0.3904,0.4065,0.3811,0.3947,3.4906e+07
1738195200000,0.3946,0.4207,0.3919,0.4112,2.88747e+07
1738281600000,0.4114,0.4238,0.402,0.4075,3.21612e+07
1738368000000,0.4076,0.414,0.3719,0.3746,2.94484e+07
1738454400000,0.3746,0.3862,0.3175,0.3336,9.37886e+07
1738540800000,0.3336,0.3457,0.2434,0.3413,2.24047e+08
1738627200000,0.3413,0.3433,0.3024,0.313,7.11288e+07
1738713600000,0.3128,0.3247,0.3071,0.3112,3.95033e+07
1738800000000,0.3112,0.3211,0.2945,0.2969,3.96979e+07
1738886400000,0.297,0.3198,0.2895,0.2989,4.53564e+07
1738972800000,0.2988,0.3101,0.2966,0.309,2.25395e+07
1739059200000,0.309,0.3176,0.2922,0.3037,2.89764e+07
1739145600000,0.3038,0.3135,0.2943,0.3133,2.85543e+07
1739232000000,0.3133,0.3295,0.3039,0.3072,3.39485e+07
1739318400000,0.3071,0.3329,0.2995,0.3291,4.31205e+07
1739404800000,0.3292,0.3315,0.3111,0.3177,3.2741e+07
1739491200000,0.3176,0.3299,0.3157,0.3231,2.87218e+07
1739577600000,0.323,0.3276,0.3151,0.3177,1.51132e+07
1739664000000,0.3177,0.332,0.3147,0.3261,2.17076e+07
1739750400000,0.3259,0.3345,0.3125,0.3199,3.92326e+07
1739836800000,0.3198,0.3209,0.2914,0.3026,5.19436e+07
1739923200000,0.3027,0.3092,0.2973,0.3015,4.30093e+07
1740009600000,0.3016,0.31,0.2988,0.3074,3.71223e+07
1740096000000,0.3075,0.3165,0.2864,0.2927,7.46703e+07
1740182400000,0.2927,0.2995,0.2906,0.2973,5.51543e+07
1740268800000,0.2972,0.2994,0.2899,0.2961,2.82465e+07
1740355200000,0.2962,0.2984,0.2627,0.2668,8.40259e+07
1740441600000,0.2669,0.2756,0.249,0.2721,9.04674e+07
