OpenTime,Open,High,Low,Close,Volume
1736035200000,8.063,8.45,7.913,8.278,2.84148e+06
1736121600000,8.281,9.024,8.087,8.912,7.08607e+06
1736208000000,8.911,8.923,8.031,8.101,7.14352e+06
1736294400000,8.099,8.248,7.11,7.568,8.52578e+06
1736380800000,7.567,7.64,6.892,7.026,6.52348e+06
1736467200000,7.027,7.759,7.026,7.29,6.57631e+06
1736553600000,7.289,7.54,7.068,7.361,3.02441e+06
1736640000000,7.361,7.38,7.012,7.121,2.10695e+06
1736726400000,7.12,7.316,6.374,6.964,6.55059e+06
1736812800000,6.967,7.284,6.877,7.022,4.29297e+06
1736899200000,7.021,7.693,6.761,7.674,6.25333e+06
1736985600000,7.674,7.723,7.272,7.488,5.05037e+06
1737072000000,7.488,8.049,7.456,7.962,4.48482e+06
1737158400000,7.964,8.22,7.304,7.476,6.40349e+06
1737244800000,7.476,7.635,6.529,6.697,9.12015e+06
1737331200000,6.703,7.526,6.445,6.731,1.18426e+07
1737417600000,6.729,7.381,6.447,7.239,6.30973e+06
1737504000000,7.24,7.376,7.003,7.053,3.6259e+06
1737590400000,7.052,7.124,6.731,7.065,4.68629e+06
1737676800000,7.066,7.28,6.782,6.878,2.77653e+06
1737763200000,6.881,7.045,6.716,6.974,2.02481e+06
1737849600000,6.975,7.173,6.721,6.731,2.24781e+06
1737936000000,6.728,6.769,5.807,6.226,8.90887e+06
1738022400000,6.225,6.322,5.459,5.539,4.81932e+06
1738108800000,5.54,5.965,5.307,5.48,8.33602e+06
1738195200000,5.48,6.042,5.413,5.872,4.81408e+06
1738281600000,5.873,6.195,5.755,5.855,3.72831e+06
1738368000000,5.856,6.025,5.323,5.38,3.58243e+06
1738454400000,5.377,5.493,4.4,4.703,1.14665e+07
1738540800000,4.704,5.217,3.267,5.043,2.31695e+07
1738627200000,5.042,5.076,4.462,4.617,8.44605e+06
1738713600000,4.617,4.758,4.412,4.464,4.25982e+06
1738800000000,4.464,4.637,4.144,4.189,5.84431e+06
1738886400000,4.188,4.559,3.991,4.134,6.06446e+06
1738972800000,4.133,4.3,4.007,4.257,3.00487e+06
1739059200000,4.258,4.428,4.014,4.243,3.87254e+06
1739145600000,4.243,4.533,4.098,4.454,3.66303e+06
1739232000000,4.454,4.774,4.363,4.458,4.34311e+06
1739318400000,4.455,4.729,4.202,4.65,5.30333e+06
1739404800000,4.651,4.727,4.36,4.502,2.92823e+06
1739491200000,4.503,4.833,4.496,4.726,3.66731e+06
1739577600000,4.728,4.83,4.509,4.575,2.0067e+06
1739664000000,4.575,4.603,4.4,4.469,2.2326e+06
1739750400000,4.47,4.685,4.27,4.379,3.64146e+06
1739836800000,4.379,4.397,3.961,4.18,3.53049e+06
1739923200000,4.181,4.286,4.084,4.243,1.83782e+06
1740009600000,4.243,4.461,4.207,4.447,2.54396e+06
1740096000000,4.447,4.634,4.051,4.169,5.03494e+06
1740182400000,4.169,4.386,4.135,4.267,2.3885e+06
1740268800000,4.267,4.303,4.091,4.164,1.71606e+06
1740355200000,4.164,4.209,3.582,3.637,5.16377e+06
1740441600000,3.637,3.747,3.349,3.661,8.19871e+06
1740528000000,3.661,3.87,3.569,3.77,5.87074e+06
1740614400000,3.771,3.903,3.624,3.735,2.92071e+06
1740700800000,3.737,3.862,3.423,3.817,6.52868e+06
1740787200000,3.817,3.878,3.666,3.804,2.08934e+06
1740873600000,3.804,4.473,3.721,4.423,6.2777e+06
1740960000000,4.422,4.489,3.698,3.724,6.74356e+06
1741046400000,3.723,3.733,3.253,3.528,9.30942e+06
1741132800000,3.528,3.799,3.468,3.728,3.41804e+06
1741219200000,3.726,4.173,3.684,3.809,6.09146e+06
1741305600000,3.809,3.861,3.552,3.593,5.72483e+06
1741392000000,3.593,3.613,3.434,3.495,2.19957e+06
1741478400000,3.496,3.525,3.001,3.027,4.42478e+06
1741564800000,3.028,3.231,2.641,2.734,8.11105e+06
1741651200000,2.734,3.056,2.521,2.958,7.61366e+06
1741737600000,2.959,3.185,2.851,3.078,7.52083e+06
1741824000000,3.078,3.123,2.835,2.965,4.03074e+06
1741910400000,2.966,3.231,2.947,3.159,3.78799e+06
1741996800000,3.159,3.339,3.151,3.259,2.37591e+06
1742083200000,3.26,3.29,3.069,3.107,2.70132e+06
1742169600000,3.108,3.325,3.105,3.221,2.97621e+06
1742256000000,3.221,3.251,3.058,3.23,2.66319e+06
1742342400000,3.229,3.436,3.202,3.429,5.07737e+06
1742428800000,3.431,3.474,3.216,3.318,2.81168e+06
1742515200000,3.317,3.331,3.145,3.212,2.23868e+06
1742601600000,3.212,3.369,3.209,3.316,1.79852e+06
1742688000000,3.316,3.471,3.279,3.471,1.75809e+06
1742774400000,3.47,3.966,3.462,3.789,7.32346e+06
1742860800000,3.788,4.138,3.746,4.038,5.22855e+06
1742947200000,4.037,4.215,3.888,3.922,5.44861e+06
1743033600000,3.922,4.042,3.869,3.923,3.28389e+06
1743120000000,3.924,3.977,3.589,3.728,4.93103e+06
1743206400000,3.728,3.822,3.45,3.506,3.6369e+06
1743292800000,3.507,3.61,3.386,3.414,3.10689e+06
1743379200000,3.415,3.558,3.29,3.404,5.02722e+06
1743465600000,3.403,3.794,3.384,3.693,4.9645e+06
1743552000000,3.692,3.827,3.259,3.31,8.34313e+06
1743638400000,3.311,3.422,3.083,3.302,6.25335e+06
1743724800000,3.303,3.329,3.104,3.232,5.79741e+06
1743811200000,3.232,3.257,3.1,3.166,1.84007e+06
1743897600000,3.166,3.18,2.714,2.784,6.24025e+06
1743984000000,2.784,3.053,2.504,2.962,1.42565e+07
1744070400000,2.963,3.179,2.786,2.824,7.96299e+06
1744156800000,2.825,3.477,2.719,3.38,1.27717e+07
1744243200000,3.38,3.476,3.232,3.465,7.47069e+06
1744329600000,3.463,3.82,3.463,3.717,8.18065e+06
1744416000000,3.716,3.989,3.708,3.955,5.32217e+06
1744502400000,3.956,4.065,3.689,3.778,4.42235e+06
1744588800000,3.778,4.008,3.769,3.845,5.04281e+06
