OpenTime,Open,High,Low,Close,Volume
1736035200000,5.2902,5.3256,5.1183,5.2443,4.69583e+07
1736121600000,5.2444,5.3687,4.9779,5.09,5.04819e+07
1736208000000,5.09,5.1717,4.75,4.7852,6.1451e+07
1736294400000,4.7852,4.9159,4.3853,4.8961,9.40156e+07
1736380800000,4.896,4.896,4.4954,4.7506,8.32779e+07
1736467200000,4.7506,5.2519,4.7338,5.1229,1.11348e+08
1736553600000,5.1229,5.1429,4.9039,4.97,3.94822e+07
1736640000000,4.9699,4.9823,4.6884,4.7328,3.54968e+07
1736726400000,4.7328,4.8606,4.253,4.7487,1.25932e+08
1736812800000,4.7488,4.764,4.5411,4.5855,6.47809e+07
1736899200000,4.5855,4.8919,4.4326,4.8359,9.14765e+07
1736985600000,4.836,5.0574,4.5802,4.749,8.11639e+07
1737072000000,4.749,4.9687,4.7121,4.8382,7.14024e+07
1737158400000,4.8381,5.1396,4.6107,5.004,8.75013e+07
1737244800000,5.004,5.0275,4.3903,4.5071,1.34826e+08
1737331200000,4.5067,4.847,4.29,4.4181,1.47343e+08
1737417600000,4.4181,4.7989,4.2167,4.6581,7.61286e+07
1737504000000,4.658,4.7055,4.452,4.4711,3.53031e+07
1737590400000,4.471,4.4778,4.156,4.3023,5.68489e+07
1737676800000,4.3023,4.4841,4.1612,4.2016,5.00076e+07
1737763200000,4.2017,4.2598,4.0985,4.13,3.39731e+07
1737849600000,4.13,4.2226,3.8618,3.87,3.47878e+07
1737936000000,3.8701,4.0167,3.4952,3.9636,1.40489e+08
1738022400000,3.9637,4.0138,3.6087,3.6528,5.23126e+07
1738108800000,3.6535,3.8927,3.6011,3.6984,6.04642e+07
1738195200000,3.6985,4.2148,3.6661,4.118,7.393e+07
1738281600000,4.1181,4.2526,4.0105,4.0891,6.20786e+07
1738368000000,4.0883,4.1195,3.721,3.7347,3.96072e+07
1738454400000,3.7347,3.8588,3.0758,3.3072,1.07396e+08
1738540800000,3.3073,3.8325,2.39,3.6504,3.21356e+08
1738627200000,3.6504,3.8999,3.2744,3.594,1.60602e+08
1738713600000,3.5951,3.7202,3.3029,3.3302,8.66121e+07
1738800000000,3.3303,3.5123,3.1045,3.1358,9.71292e+07
1738886400000,3.1358,3.3875,2.9042,3.0139,1.0526e+08
1738972800000,3.014,3.0893,2.8832,3.0624,6.04513e+07
1739059200000,3.0627,3.1831,2.8679,2.9952,6.47934e+07
1739145600000,2.9951,3.3072,2.9006,3.2159,8.91295e+07
1739232000000,3.2158,3.5854,3.2012,3.3279,9.899e+07
1739318400000,3.3278,3.6699,3.08,3.5821,1.19296e+08
1739404800000,3.5822,3.6566,3.4093,3.4676,6.8961e+07
1739491200000,3.4677,3.7386,3.4267,3.5531,6.23111e+07
1739577600000,3.5532,3.5995,3.3736,3.4178,3.27542e+07
1739664000000,3.4177,3.4638,3.2482,3.2688,3.36207e+07
1739750400000,3.2689,3.3573,3.1437,3.2183,4.8973e+07
1739836800000,3.2183,3.2352,2.9205,3.0652,7.3888e+07
1739923200000,3.0653,3.2601,3.0059,3.2182,6.93434e+07
1740009600000,3.2182,3.4801,3.1891,3.4508,5.62759e+07
1740096000000,3.4507,3.5699,3.2213,3.2695,8.02146e+07
1740182400000,3.2696,3.4551,3.2516,3.4216,3.40736e+07
1740268800000,3.4216,3.4866,3.2852,3.3782,3.16294e+07
1740355200000,3.3782,3.4496,2.8,2.8304,1.14909e+08
1740441600000,2.8304,3.0158,2.6338,2.9577,1.97737e+08
1740528000000,2.9577,3.096,2.7434,2.8831,1.13387e+08
1740614400000,2.8832,2.9803,2.7588,2.7888,6.53766e+07
1740700800000,2.7889,2.8577,2.5165,2.83,1.10186e+08
1740787200000,2.8301,2.925,2.7816,2.8194,4.53056e+07
1740873600000,2.8195,3.2513,2.791,3.1935,1.01361e+08
1740960000000,3.1935,3.2073,2.5831,2.6179,9.23514e+07
1741046400000,2.6181,2.6534,2.2559,2.5262,1.46366e+08
1741132800000,2.5261,2.6909,2.4424,2.6332,7.35673e+07
1741219200000,2.6331,3,2.5879,2.7361,1.3313e+08
1741305600000,2.7361,2.8909,2.5613,2.5826,1.31734e+08
1741392000000,2.5827,2.6299,2.4674,2.4834,3.16044e+07
1741478400000,2.4833,2.5251,2.251,2.2898,5.22082e+07
1741564800000,2.2899,2.4494,2.0577,2.0888,9.63023e+07
1741651200000,2.089,2.3063,1.9626,2.2288,1.05938e+08
1741737600000,2.2297,2.3762,2.1716,2.2854,6.65413e+07
1741824000000,2.2846,2.343,2.1143,2.1635,5.34608e+07
1741910400000,2.1635,2.3862,2.1592,2.3254,5.23631e+07
1741996800000,2.3249,2.4269,2.3,2.3523,3.55606e+07
1742083200000,2.3523,2.3677,2.2051,2.2314,3.68849e+07
1742169600000,2.2314,2.3815,2.2288,2.379,5.84796e+07
1742256000000,2.379,2.3884,2.2206,2.2847,5.24902e+07
1742342400000,2.2848,2.4867,2.2771,2.4745,6.59044e+07
