OpenTime,Open,High,Low,Close,Volume
1736985600000,0.6994,0.848,0.6994,0.7818,9.43377e+07
1737072000000,0.7818,0.818,0.7629,0.7798,7.10648e+07
1737158400000,0.7798,0.7854,0.6567,0.68,8.94947e+07
1737244800000,0.6799,0.6865,0.5481,0.5645,1.7653e+08
1737331200000,0.5645,0.5941,0.5,0.5176,1.60718e+08
1737417600000,0.5177,0.6352,0.5,0.6052,1.85516e+08
1737504000000,0.6053,0.6565,0.5905,0.5931,9.77975e+07
1737590400000,0.5931,0.6054,0.5635,0.5801,6.95173e+07
1737676800000,0.5802,0.5831,0.5237,0.5362,6.66425e+07
1737763200000,0.5362,0.548,0.5244,0.5376,3.7044e+07
1737849600000,0.5377,0.5553,0.5141,0.5151,3.56234e+07
1737936000000,0.5148,0.5214,0.458,0.4949,9.4315e+07
1738022400000,0.4949,0.4956,0.4348,0.4401,5.37908e+07
1738108800000,0.4402,0.4996,0.4392,0.487,7.28156e+07
1738195200000,0.4872,0.5381,0.4853,0.5184,6.00969e+07
1738281600000,0.5185,0.604,0.4992,0.5644,1.12492e+08
1738368000000,0.5642,0.5706,0.4865,0.4908,5.57565e+07
1738454400000,0.4908,0.5157,0.4245,0.4587,1.15238e+08
1738540800000,0.4589,0.4809,0.3154,0.4691,2.13233e+08
1738627200000,0.469,0.4735,0.4128,0.4363,1.05081e+08
1738713600000,0.4364,0.4597,0.4246,0.4394,7.04446e+07
1738800000000,0.4393,0.4767,0.4192,0.4248,8.92544e+07
1738886400000,0.4248,0.4496,0.3808,0.3954,7.66939e+07
1738972800000,0.3954,0.4183,0.374,0.4122,7.15226e+07
1739059200000,0.412,0.4182,0.3934,0.41,5.49584e+07
1739145600000,0.41,0.447,0.3983,0.4364,6.94797e+07
1739232000000,0.4365,0.483,0.4352,0.4535,6.54356e+07
1739318400000,0.4535,0.5631,0.4509,0.5569,1.4941e+08
1739404800000,0.5569,0.5885,0.4911,0.5337,1.17958e+08
1739491200000,0.5337,0.5593,0.5291,0.549,6.67967e+07
1739577600000,0.5491,0.5628,0.5087,0.5153,4.18188e+07
1739664000000,0.5154,0.539,0.5077,0.5296,4.22347e+07
1739750400000,0.5296,0.6252,0.5293,0.6093,1.26703e+08
1739836800000,0.6092,0.63,0.566,0.5972,1.25061e+08
1739923200000,0.5973,0.738,0.5922,0.7118,1.95721e+08
1740009600000,0.7118,0.899,0.6955,0.8665,2.37827e+08
1740096000000,0.8665,0.99,0.825,0.8544,3.44875e+08
1740182400000,0.8543,0.9162,0.788,0.8037,1.77737e+08
1740268800000,0.8037,0.868,0.7971,0.8503,1.01324e+08
1740355200000,0.8503,0.9187,0.788,0.8064,2.32895e+08
1740441600000,0.8066,0.8191,0.6738,0.7635,3.03136e+08
1740528000000,0.7634,0.7686,0.6669,0.7284,1.91432e+08
1740614400000,0.7284,0.7496,0.6851,0.6965,1.23306e+08
1740700800000,0.6965,0.6984,0.615,0.6732,1.853e+08
1740787200000,0.6732,0.7637,0.6672,0.7244,1.23849e+08
1740873600000,0.7245,0.7833,0.7148,0.748,1.59636e+08
1740960000000,0.7479,0.7491,0.5876,0.5962,1.42493e+08
1741046400000,0.5963,0.599,0.4939,0.5641,2.5105e+08
1741132800000,0.564,0.6123,0.5401,0.5919,1.27961e+08
1741219200000,0.5919,0.6218,0.53,0.533,1.15739e+08
1741305600000,0.533,0.5425,0.4996,0.5079,1.31922e+08
1741392000000,0.5078,0.5218,0.4983,0.5084,5.95364e+07
1741478400000,0.5084,0.5121,0.4298,0.4376,1.20491e+08
1741564800000,0.4377,0.4676,0.4087,0.4266,1.54237e+08
1741651200000,0.4267,0.45,0.4036,0.4283,1.39868e+08
1741737600000,0.4283,0.4577,0.4113,0.4513,1.09137e+08
1741824000000,0.4513,0.5068,0.4466,0.484,1.64241e+08
1741910400000,0.484,0.5499,0.4791,0.5275,1.50184e+08
1741996800000,0.5274,0.5619,0.5182,0.5501,7.48743e+07
1742083200000,0.5501,0.5511,0.4853,0.4959,1.29111e+08
1742169600000,0.4959,0.5183,0.4898,0.5006,1.18972e+08
1742256000000,0.5006,0.501,0.4689,0.4944,1.08778e+08
1742342400000,0.4942,0.5547,0.4942,0.5496,1.45141e+08
1742428800000,0.5495,0.5575,0.5065,0.5116,9.1302e+07
1742515200000,0.5115,0.5231,0.4856,0.505,7.88864e+07
1742601600000,0.505,0.5239,0.5043,0.5067,4.98001e+07
1742688000000,0.5066,0.545,0.5019,0.5405,7.24141e+07
1742774400000,0.5406,0.6196,0.5283,0.5968,1.42099e+08
1742860800000,0.5967,0.6329,0.5774,0.6062,1.01082e+08
1742947200000,0.6063,0.6363,0.5848,0.6031,9.80909e+07
1743033600000,0.6031,0.6258,0.5891,0.6035,7.51545e+07
1743120000000,0.6034,0.6045,0.5304,0.5424,8.93731e+07
1743206400000,0.5425,0.545,0.475,0.4875,8.29098e+07
1743292800000,0.4875,0.5064,0.4791,0.4943,6.25324e+07
1743379200000,0.4944,0.4979,0.4584,0.4842,9.17391e+07
1743465600000,0.4842,0.5296,0.4833,0.5058,6.97979e+07
1743552000000,0.506,0.5262,0.4597,0.4671,1.03084e+08
1743638400000,0.4673,0.4862,0.4342,0.4846,7.84845e+07
1743724800000,0.4848,0.5168,0.4677,0.5018,1.0513e+08
1743811200000,0.5018,0.5111,0.4888,0.4979,3.98408e+07
1743897600000,0.498,0.4982,0.428,0.4389,8.84796e+07
1743984000000,0.4392,0.4641,0.3789,0.4326,2.28643e+08
1744070400000,0.4328,0.4437,0.3926,0.3952,1.01314e+08
1744156800000,0.3955,0.4982,0.3796,0.4886,1.88163e+08
1744243200000,0.4885,0.4939,0.4565,0.4664,1.00578e+08
1744329600000,0.4663,0.4909,0.4602,0.4799,8.95098e+07
1744416000000,0.48,0.5393,0.4731,0.5262,8.99283e+07
1744502400000,0.5262,0.5296,0.4799,0.4866,6.20438e+07
1744588800000,0.4866,0.5198,0.485,0.4968,5.57937e+07
