OpenTime,Open,High,Low,Close,Volume
1736035200000,560.2,573,547.7,562.7,58939.5
1736121600000,562.8,588.7,541.5,555.6,134076
1736208000000,555.6,558.8,497.4,498.7,146592
1736294400000,498.7,502.3,437.7,467,156728
1736380800000,467.1,475.6,427.7,432.4,126439
1736467200000,432.5,455.8,418,438.9,186705
1736553600000,439,458.8,428.1,446,66531.7
1736640000000,446,452.8,434.6,443.8,71872.5
1736726400000,443.8,456.5,370,420.6,235091
1736812800000,420.7,433.7,410.5,417.2,105475
1736899200000,417.1,471.5,402.6,458.5,176203
1736985600000,458.6,469.8,438.3,445.5,130635
1737072000000,445.6,493.3,445.6,485.2,119223
1737158400000,485.2,495.1,440.2,457.7,161065
1737244800000,457.8,487.6,409,426.8,283275
1737331200000,426.7,470.3,404.9,407.7,265465
1737417600000,407.8,433.9,386.3,426.1,187926
1737504000000,425.9,435,397.8,399.5,97805.6
1737590400000,399.5,403,370.2,379.8,205294
1737676800000,379.9,390.7,362.6,372.5,128897
1737763200000,372.5,419.1,363.1,408.8,110660
1737849600000,408.8,463.9,402.5,433.2,218066
1737936000000,433.2,480,386.1,445.8,450259
1738022400000,445.9,464.4,428.1,451,207272
1738108800000,451,498,441.3,449,286525
1738195200000,449,479.4,444.5,452.9,145313
1738281600000,452.9,475.9,445.6,449.5,122044
1738368000000,449.4,471.5,390.3,393.1,179554
1738454400000,393.2,406.3,336.4,350.8,329477
1738540800000,350.8,413.2,236.1,399.3,775832
1738627200000,399.3,400.8,346.6,358.2,271508
1738713600000,358.3,370.5,341.6,350.2,164153
1738800000000,350.2,376.6,323.7,326,191732
1738886400000,326.1,352.8,307.5,319.6,193415
1738972800000,319.6,353.4,317.4,350.5,135325
1739059200000,350.5,370.5,342.8,365.4,150968
1739145600000,365.4,399.7,350.7,387,175012
1739232000000,387,437.4,385.7,412.6,233447
1739318400000,412.5,420,372,402.3,206131
1739404800000,402.4,415,368.9,382.8,148917
1739491200000,382.8,406.9,376.4,391.8,132339
1739577600000,391.8,401.9,370.9,375.2,63624.9
1739664000000,375.3,376.9,355,359.8,60141.8
1739750400000,359.7,378,346.1,360.7,115362
1739836800000,360.7,387.6,347.5,375.5,162574
1739923200000,375.5,430.4,368.2,420.2,220742
1740009600000,420.2,469.8,417.3,465.9,232284
1740096000000,465.9,495.3,427,444.8,237100
1740182400000,444.7,463.3,423.2,432.4,141076
1740268800000,432.4,442.8,414.5,433.9,106677
1740355200000,433.9,449,395.6,397,262386
1740441600000,397.1,408,353.4,379.8,397737
1740528000000,379.8,388.7,338.4,351.6,283230
1740614400000,351.5,370.3,322.7,330.2,178580
1740700800000,330.2,334.8,296.4,326.4,288724
1740787200000,326.5,340.1,315.8,337.7,118605
1740873600000,337.8,360.5,320.6,353.4,226226
1740960000000,353.4,355.9,292.7,295.5,219001
1741046400000,295.5,299.2,257.6,287.5,287258
1741132800000,287.5,312.8,285.1,300,170256
1741219200000,300,312.1,281.1,288,169468
1741305600000,288,294.2,271.6,275.4,158859
1741392000000,275.5,284.5,265.5,276.3,78336.6
1741478400000,276.3,278.4,238.2,243.7,167139
1741564800000,243.8,257.4,212.5,225.3,276754
1741651200000,225.4,272,212.4,260.4,323538
1741737600000,260.5,275.7,246.8,259.7,209710
1741824000000,259.5,262.1,235.2,238.3,146600
1741910400000,238.4,262.2,237.4,256.2,119617
1741996800000,256.2,267.7,253,258.2,78576.6
1742083200000,258.3,263.3,238.8,240.7,124282
1742169600000,240.8,260.4,240.4,255,75169.5
1742256000000,255.1,255.8,235.9,246.9,81591
1742342400000,247,263.5,246.3,262.1,120330
1742428800000,262.2,267.7,247.9,251.7,103766
1742515200000,251.5,256.4,242.3,247.5,55950.5
1742601600000,247.6,254.7,246.5,248,38689.6
1742688000000,248,258.1,246.3,257,54261.6
1742774400000,257,275.4,253.3,269.5,117580
1742860800000,269.4,281,262.6,269.9,79334.7
1742947200000,270,284,255.4,260.8,96910.7
1743033600000,260.9,278.2,260.2,269.3,106572
1743120000000,269.2,270.8,238.6,244.5,94806.8
1743206400000,244.6,245.5,221,231.2,102934
1743292800000,231.3,237.5,222.4,226.9,59224.8
1743379200000,227,228.2,212.9,223.8,103081
1743465600000,223.8,235.3,223,232.1,90479.3
1743552000000,232.1,237.8,208.4,211.9,139953
1743638400000,211.9,219.5,198.3,215.9,113429
1743724800000,216,222.7,203.4,220.9,116699
1743811200000,220.9,221.5,212.9,219.7,41536.8
1743897600000,219.8,219.9,177.6,183.7,140115
1743984000000,183.8,208.5,167.8,204.7,314947
1744070400000,204.6,217.9,193.1,195.3,156648
1744156800000,195.3,234,190.3,230.5,230609
1744243200000,230.3,242.6,225.4,231.7,176001
1744329600000,231.6,260.7,231.1,250.7,186300
1744416000000,250.8,263.2,248.7,253.8,128726
1744502400000,253.8,256.5,236.2,240,84092.7
1744588800000,240,250.3,237,239.9,83911
