OpenTime,Open,High,Low,Close,Volume
1736035200000,5.565,5.615,5.366,5.554,3.40283e+06
1736121600000,5.555,5.678,5.335,5.524,6.28099e+06
1736208000000,5.524,5.597,4.874,4.879,8.4449e+06
1736294400000,4.878,4.939,4.332,4.514,1.21628e+07
1736380800000,4.513,4.732,4.371,4.532,7.03053e+06
1736467200000,4.533,4.872,4.432,4.834,5.34188e+06
1736553600000,4.834,4.957,4.6,4.929,5.26629e+06
1736640000000,4.93,5.194,4.765,4.934,6.15404e+06
1736726400000,4.934,5.116,4.316,4.613,1.04842e+07
1736812800000,4.612,4.826,4.57,4.767,3.93006e+06
1736899200000,4.767,5.273,4.632,5.242,9.97863e+06
1736985600000,5.243,5.268,4.876,5.009,7.78763e+06
1737072000000,5.009,5.49,5.009,5.369,9.49511e+06
1737158400000,5.369,5.477,4.761,4.853,7.97502e+06
1737244800000,4.854,5.286,4.467,4.653,2.03339e+07
1737331200000,4.652,5.22,4.367,4.604,1.90835e+07
1737417600000,4.604,5,4.401,4.887,7.91682e+06
1737504000000,4.887,4.988,4.656,4.679,4.47593e+06
1737590400000,4.679,4.754,4.45,4.635,6.69913e+06
1737676800000,4.635,4.839,4.5,4.542,4.71894e+06
1737763200000,4.543,4.662,4.451,4.543,2.92118e+06
1737849600000,4.543,4.638,4.337,4.346,2.63943e+06
1737936000000,4.345,4.345,3.82,4.053,1.20307e+07
1738022400000,4.053,4.122,3.756,3.807,4.48325e+06
1738108800000,3.807,4.095,3.793,3.922,6.10394e+06
1738195200000,3.922,4.358,3.862,4.245,5.23768e+06
1738281600000,4.245,4.54,4.136,4.341,6.22375e+06
1738368000000,4.339,4.456,3.875,3.925,4.93939e+06
1738454400000,3.925,4.025,3,3.3,1.62111e+07
1738540800000,3.301,3.514,2.353,3.499,3.77837e+07
1738627200000,3.498,3.511,3.039,3.249,1.43581e+07
1738713600000,3.25,3.314,2.974,3.026,7.95508e+06
1738800000000,3.026,3.14,2.822,2.916,1.11861e+07
1738886400000,2.917,3.108,2.723,2.82,6.91852e+06
1738972800000,2.821,3.047,2.775,3.033,4.55583e+06
1739059200000,3.033,3.187,2.917,3.114,6.4604e+06
1739145600000,3.113,3.32,3.009,3.232,6.18344e+06
1739232000000,3.232,3.57,3.184,3.224,8.32166e+06
1739318400000,3.224,3.309,2.968,3.222,9.22563e+06
1739404800000,3.222,3.256,2.942,3.044,5.88202e+06
1739491200000,3.045,3.305,3.032,3.18,5.42376e+06
1739577600000,3.179,3.224,3.015,3.066,3.09938e+06
1739664000000,3.067,3.108,2.976,3.03,3.58712e+06
1739750400000,3.031,3.232,2.998,3.13,5.42348e+06
1739836800000,3.131,3.209,2.929,3.002,8.3519e+06
1739923200000,3.003,3.209,2.928,3.142,5.85274e+06
1740009600000,3.142,3.788,3.128,3.663,1.585e+07
1740096000000,3.662,3.795,3.461,3.59,1.16878e+07
1740182400000,3.589,4,3.504,3.758,1.00921e+07
1740268800000,3.757,3.809,3.663,3.709,3.94768e+06
1740355200000,3.709,3.753,3.2,3.242,9.39048e+06
1740441600000,3.241,3.807,3.011,3.642,1.41624e+07
1740528000000,3.643,4.097,3.58,3.83,1.71829e+07
1740614400000,3.83,3.989,3.603,3.639,7.3051e+06
1740700800000,3.638,4.157,3.389,4.084,1.31203e+07
1740787200000,4.082,4.318,4.039,4.169,8.76264e+06
1740873600000,4.168,4.5,4.08,4.154,1.01174e+07
1740960000000,4.153,4.161,3.317,3.419,1.25169e+07
1741046400000,3.419,3.604,3.186,3.419,1.32475e+07
1741132800000,3.418,3.504,3.23,3.377,5.7117e+06
1741219200000,3.378,3.493,3.129,3.173,7.41717e+06
1741305600000,3.174,3.306,3.063,3.158,6.08105e+06
1741392000000,3.159,3.359,3.067,3.293,4.51537e+06
1741478400000,3.293,3.348,3.008,3.031,7.3173e+06
1741564800000,3.032,3.206,2.737,2.8,1.05378e+07
1741651200000,2.801,3.216,2.629,3.208,8.8891e+06
1741737600000,3.208,3.798,3.166,3.677,1.49339e+07
1741824000000,3.676,3.72,3.427,3.63,6.56276e+06
1741910400000,3.632,3.717,3.517,3.529,4.85858e+06
1741996800000,3.528,3.758,3.496,3.617,3.20428e+06
1742083200000,3.619,3.686,3.37,3.386,2.92448e+06
1742169600000,3.386,3.506,3.341,3.388,3.66996e+06
1742256000000,3.389,3.454,3.122,3.231,6.48298e+06
1742342400000,3.232,3.458,3.193,3.418,7.10212e+06
1742428800000,3.418,3.46,3.25,3.351,3.34869e+06
1742515200000,3.351,3.457,3.251,3.296,3.60358e+06
1742601600000,3.295,3.493,3.264,3.381,2.6602e+06
1742688000000,3.381,3.597,3.321,3.545,3.49441e+06
1742774400000,3.545,3.727,3.512,3.647,4.35647e+06
1742860800000,3.646,3.755,3.607,3.687,3.17795e+06
1742947200000,3.686,3.724,3.467,3.583,3.44746e+06
1743033600000,3.583,3.813,3.576,3.709,4.15123e+06
1743120000000,3.709,3.813,3.376,3.429,4.25445e+06
1743206400000,3.43,3.475,3.13,3.216,2.37945e+06
1743292800000,3.216,3.379,3.181,3.246,1.69657e+06
1743379200000,3.247,3.456,3.02,3.064,3.55888e+06
1743465600000,3.063,3.212,3.043,3.146,2.89105e+06
1743552000000,3.145,3.236,2.881,2.915,4.08395e+06
1743638400000,2.914,2.981,2.652,2.838,5.34066e+06
1743724800000,2.839,2.868,2.626,2.731,5.29312e+06
1743811200000,2.731,2.792,2.636,2.697,2.5552e+06
1743897600000,2.698,2.704,2.298,2.349,6.25299e+06
1743984000000,2.35,2.585,2.146,2.48,1.12286e+07
1744070400000,2.48,2.569,2.313,2.333,5.60572e+06
1744156800000,2.333,2.597,2.239,2.557,9.89104e+06
1744243200000,2.558,2.59,2.426,2.448,5.37414e+06
1744329600000,2.448,2.608,2.439,2.528,4.85902e+06
1744416000000,2.528,2.688,2.493,2.65,4.64215e+06
1744502400000,2.65,2.658,2.38,2.418,5.08558e+06
1744588800000,2.419,2.59,2.416,2.48,3.41987e+06
