OpenTime,Open,High,Low,Close,Volume
1736035200000,5.725,5.749,5.631,5.724,1.98387e+06
1736121600000,5.724,5.804,5.64,5.708,3.76702e+06
1736208000000,5.708,5.761,5.303,5.316,5.22527e+06
1736294400000,5.316,5.36,5.1,5.309,6.51837e+06
1736380800000,5.308,5.349,5.094,5.2,4.40122e+06
1736467200000,5.2,5.389,5.128,5.381,3.34515e+06
1736553600000,5.382,5.477,5.329,5.4,2.55271e+06
1736640000000,5.4,5.437,5.254,5.307,3.07603e+06
1736726400000,5.309,5.37,4.997,5.298,8.00783e+06
1736812800000,5.298,5.44,5.215,5.362,4.22937e+06
1736899200000,5.362,5.524,5.303,5.516,5.78891e+06
1736985600000,5.515,5.58,5.42,5.475,6.06573e+06
1737072000000,5.476,5.633,5.471,5.585,5.01277e+06
1737158400000,5.585,5.659,5.17,5.29,7.19782e+06
1737244800000,5.29,5.36,4.781,4.864,1.34274e+07
1737331200000,4.865,5.3,4.72,5.03,1.5803e+07
1737417600000,5.031,5.268,4.922,5.205,8.44618e+06
1737504000000,5.204,5.363,5.16,5.295,5.46449e+06
1737590400000,5.295,5.321,5.037,5.125,6.64034e+06
1737676800000,5.125,5.183,5.019,5.069,3.83329e+06
1737763200000,5.068,5.11,5.014,5.079,2.22829e+06
1737849600000,5.079,5.115,4.927,4.93,2.11e+06
1737936000000,4.929,5.021,4.67,5.01,8.63402e+06
1738022400000,5.011,5.034,4.751,4.784,3.20109e+06
1738108800000,4.784,4.903,4.758,4.825,3.80505e+06
1738195200000,4.823,4.938,4.783,4.822,5.9504e+06
1738281600000,4.823,4.947,4.782,4.827,5.44834e+06
1738368000000,4.829,4.914,4.558,4.605,5.0284e+06
1738454400000,4.604,4.684,3.914,4.061,1.27452e+07
1738540800000,4.062,4.853,2.978,4.075,3.49598e+07
1738627200000,4.075,4.115,3.636,3.786,1.21414e+07
1738713600000,3.787,3.901,3.749,3.781,4.28853e+06
1738800000000,3.781,3.914,3.695,3.741,4.61287e+06
1738886400000,3.741,3.863,3.626,3.716,5.69647e+06
1738972800000,3.715,3.811,3.664,3.738,2.79504e+06
1739059200000,3.739,3.953,3.698,3.811,4.56174e+06
1739145600000,3.812,3.856,3.74,3.818,3.51826e+06
1739232000000,3.818,3.904,3.69,3.746,4.82088e+06
1739318400000,3.746,3.832,3.6,3.832,5.1583e+06
1739404800000,3.833,3.882,3.645,3.712,6.06406e+06
1739491200000,3.712,3.892,3.698,3.846,4.05316e+06
1739577600000,3.847,3.876,3.728,3.793,2.90022e+06
1739664000000,3.792,3.847,3.743,3.779,3.24195e+06
1739750400000,3.778,3.857,3.724,3.763,4.14969e+06
1739836800000,3.762,3.764,3.56,3.675,4.61433e+06
1739923200000,3.675,3.693,3.5,3.547,5.22825e+06
1740009600000,3.546,3.64,3.527,3.602,4.82228e+06
1740096000000,3.602,3.717,3.522,3.565,5.71179e+06
1740182400000,3.566,3.759,3.543,3.741,2.61684e+06
1740268800000,3.742,3.815,3.732,3.767,2.34704e+06
1740355200000,3.768,3.799,3.383,3.412,5.50045e+06
1740441600000,3.411,3.594,3.321,3.549,7.79871e+06
1740528000000,3.549,3.625,3.38,3.501,6.18191e+06
1740614400000,3.5,3.519,3.33,3.421,3.87033e+06
1740700800000,3.421,3.45,3.12,3.328,1.02686e+07
1740787200000,3.329,3.362,3.213,3.322,3.28005e+06
1740873600000,3.323,3.583,3.283,3.507,5.76464e+06
1740960000000,3.508,3.514,2.999,3.063,9.41573e+06
1741046400000,3.063,3.217,2.8,3.121,1.18869e+07
1741132800000,3.12,3.16,2.876,3.033,1.00588e+07
1741219200000,3.032,3.113,3,3.037,5.53718e+06
1741305600000,3.038,3.1,2.885,2.99,6.05152e+06
1741392000000,2.99,3.004,2.939,2.954,2.05105e+06
1741478400000,2.955,2.966,2.606,2.648,6.4097e+06
1741564800000,2.65,2.805,2.457,2.523,9.74844e+06
1741651200000,2.523,2.739,2.354,2.641,1.09823e+07
1741737600000,2.642,2.789,2.59,2.749,5.62976e+06
1741824000000,2.749,2.797,2.681,2.766,4.12326e+06
1741910400000,2.766,2.95,2.761,2.924,7.03096e+06
1741996800000,2.924,3.638,2.904,3.584,3.13593e+07
1742083200000,3.584,3.594,3.328,3.44,1.5961e+07
1742169600000,3.441,3.665,3.386,3.453,1.14554e+07
1742256000000,3.453,3.671,3.403,3.565,1.29573e+07
1742342400000,3.565,3.799,3.527,3.657,1.19537e+07
1742428800000,3.657,3.913,3.582,3.702,1.07365e+07
1742515200000,3.702,3.796,3.51,3.587,8.53244e+06
1742601600000,3.586,3.697,3.575,3.667,3.41289e+06
1742688000000,3.668,3.727,3.627,3.683,3.53415e+06
1742774400000,3.683,3.764,3.623,3.664,4.89184e+06
1742860800000,3.663,3.698,3.553,3.597,3.37189e+06
1742947200000,3.598,3.708,3.527,3.677,4.66865e+06
1743033600000,3.678,4.091,3.677,4.049,1.40887e+07
1743120000000,4.05,4.075,3.79,3.795,1.45426e+07
1743206400000,3.795,3.85,3.65,3.699,6.23283e+06
1743292800000,3.699,3.993,3.64,3.894,1.17946e+07
1743379200000,3.894,4.167,3.835,4.109,1.41312e+07
1743465600000,4.109,4.211,3.992,4.059,1.26708e+07
1743552000000,4.06,4.098,3.803,3.837,8.20558e+06
1743638400000,3.837,3.885,3.541,3.594,7.8971e+06
1743724800000,3.593,3.602,3.336,3.416,9.56418e+06
1743811200000,3.416,3.42,3.214,3.258,4.39092e+06
1743897600000,3.259,3.338,2.853,2.917,9.13265e+06
1743984000000,2.917,3.186,2.844,3.104,1.8811e+07
1744070400000,3.105,3.181,2.91,2.987,4.63608e+06
1744156800000,2.988,3.244,2.896,3.157,9.76281e+06
1744243200000,3.157,3.163,2.859,2.915,8.35467e+06
1744329600000,2.915,2.997,2.892,2.925,8.9098e+06
1744416000000,2.925,3.082,2.779,2.982,1.24827e+07
1744502400000,2.984,3.001,2.803,2.815,1.07131e+07
1744588800000,2.816,2.895,2.778,2.841,9.11619e+06
