OpenTime,Open,High,Low,Close,Volume
1737244800000,27.25,77.24,27.25,46.5,1.48509e+08
1737331200000,46.49,63.99,34.5,36.5,1.26105e+08
1737417600000,36.51,48.33,30.4,43.76,1.02564e+08
1737504000000,43.76,44.55,36.1,36.86,3.65158e+07
1737590400000,36.86,39.84,34,34.69,4.24055e+07
1737676800000,34.68,35.46,29.1,30.18,2.88479e+07
1737763200000,30.19,30.6,25.71,28.89,4.32591e+07
1737849600000,28.89,32.3,27.07,27.38,2.92036e+07
1737936000000,27.39,28.25,24.58,28,3.01807e+07
1738022400000,28.01,30.47,26.27,27.34,2.71254e+07
1738108800000,27.35,28.7,26.26,27.25,2.01798e+07
1738195200000,27.25,28.3,25.77,26.06,1.79397e+07
1738281600000,26.06,26.64,23.62,24.14,1.78598e+07
1738368000000,24.14,25.03,18.56,19.7,3.67787e+07
1738454400000,19.71,22.65,19.38,21.01,4.58321e+07
1738540800000,21.01,21.25,16,19.66,6.40453e+07
1738627200000,19.66,19.79,16.29,17.19,3.17571e+07
1738713600000,17.19,20.73,17.19,18.17,2.82799e+07
1738800000000,18.17,19.56,16.82,17.08,2.19306e+07
1738886400000,17.09,18.27,16.15,16.57,1.73489e+07
1738972800000,16.57,17.48,16.2,17.25,1.0724e+07
1739059200000,17.25,17.95,15.27,15.88,1.48785e+07
1739145600000,15.88,16.56,14.27,15.91,1.86521e+07
1739232000000,15.91,16.8,15.22,15.35,1.09619e+07
1739318400000,15.35,15.58,14.46,15.45,1.2252e+07
1739404800000,15.45,17.9,15.3,16.3,3.30732e+07
1739491200000,16.3,24.58,15.83,21.58,6.83414e+07
1739577600000,21.58,22.42,18.09,18.66,4.06407e+07
1739664000000,18.66,19.61,18.22,18.75,2.22308e+07
1739750400000,18.74,19.35,16.82,17.18,2.04549e+07
1739836800000,17.19,17.43,15.61,16.38,1.53062e+07
1739923200000,16.38,17.43,16.06,17.03,1.19416e+07
1740009600000,17.03,17.46,16.57,17.09,9.3505e+06
1740096000000,17.09,17.39,15.67,15.9,1.39343e+07
1740182400000,15.91,16.79,15.74,16.52,7.43191e+06
1740268800000,16.51,16.6,15.81,16.13,4.82738e+06
1740355200000,16.13,16.3,12.17,12.95,1.61254e+07
1740441600000,12.95,13.68,12.31,13.25,2.18816e+07
1740528000000,13.26,13.35,12.41,13.3,1.80314e+07
1740614400000,13.3,13.64,12.31,12.59,1.21481e+07
1740700800000,12.59,13.55,11.06,12.95,3.21356e+07
1740787200000,12.95,14.52,12.67,13.17,2.23444e+07
1740873600000,13.16,17.75,13.13,16.96,5.44354e+07
1740960000000,16.96,17.02,12.33,12.83,4.31607e+07
1741046400000,12.82,13.18,11.67,12.97,3.12189e+07
1741132800000,12.97,13.69,12.66,13.22,1.76897e+07
1741219200000,13.22,13.88,12.85,13.08,1.58985e+07
1741305600000,13.08,13.35,12.18,12.36,2.10535e+07
1741392000000,12.35,12.43,11.71,12.02,6.92151e+06
1741478400000,12.02,12.18,10.48,10.71,1.03008e+07
1741564800000,10.71,11.59,10.18,10.3,1.21508e+07
1741651200000,10.31,10.9,9.54,10.5,1.80604e+07
1741737600000,10.51,10.85,10.04,10.57,1.01888e+07
1741824000000,10.57,12.47,10.27,10.73,1.99885e+07
1741910400000,10.73,12.35,10.67,11.88,2.3076e+07
1741996800000,11.88,12.51,11.83,12.18,1.08374e+07
1742083200000,12.18,12.2,11.05,11.22,1.02681e+07
1742169600000,11.23,11.64,11.11,11.43,9.16276e+06
1742256000000,11.42,11.43,10.78,11.03,7.77859e+06
1742342400000,11.02,11.7,10.9,11.65,1.12926e+07
1742428800000,11.64,11.77,10.99,11.05,9.12527e+06
1742515200000,11.05,11.17,10.66,10.86,5.99151e+06
1742601600000,10.86,11.22,10.67,10.75,6.28146e+06
1742688000000,10.74,12.51,10.69,11.51,1.94546e+07
1742774400000,11.52,12.07,11.37,11.89,1.39247e+07
1742860800000,11.89,11.89,11.29,11.6,9.30872e+06
1742947200000,11.61,12.07,11.21,11.39,8.48817e+06
1743033600000,11.4,11.67,11.02,11.11,5.95214e+06
1743120000000,11.1,11.23,10.1,10.35,8.78028e+06
1743206400000,10.34,10.46,9.84,10.08,5.29078e+06
1743292800000,10.07,10.37,9.96,10.22,3.84755e+06
1743379200000,10.22,10.31,9.88,10.01,5.21675e+06
1743465600000,10.01,10.47,9.95,10.39,6.88717e+06
1743552000000,10.39,10.67,8.97,9.16,1.5789e+07
1743638400000,9.17,9.5,8.74,9.47,1.07762e+07
1743724800000,9.48,9.64,9.11,9.35,7.51471e+06
1743811200000,9.36,9.46,9.06,9.23,2.38942e+06
1743897600000,9.23,9.27,7.72,7.93,1.15824e+07
1743984000000,7.94,8.28,7.14,7.83,1.88723e+07
1744070400000,7.83,8.06,7.44,7.57,9.38603e+06
1744156800000,7.58,8.39,7.22,8.17,1.67084e+07
1744243200000,8.17,8.23,7.66,7.92,8.48612e+06
1744329600000,7.92,8.2,7.88,8.05,6.97437e+06
1744416000000,8.06,8.79,7.94,8.69,7.01265e+06
1744502400000,8.7,8.78,8.05,8.26,8.68737e+06
1744588800000,8.26,8.51,7.94,8,7.31399e+06
