OpenTime,Open,High,Low,Close,Volume
1736035200000,0.2696,0.2697,0.2612,0.2627,3.33256e+08
1736121600000,0.2627,0.2697,0.2596,0.2684,5.81835e+08
1736208000000,0.2684,0.2716,0.2522,0.2526,8.8173e+08
1736294400000,0.2527,0.255,0.2443,0.2505,9.81347e+08
1736380800000,0.2505,0.2514,0.2367,0.2402,9.01722e+08
1736467200000,0.2401,0.2448,0.2375,0.2445,6.39323e+08
1736553600000,0.2445,0.2446,0.2405,0.241,2.7664e+08
1736640000000,0.241,0.2413,0.2316,0.2336,3.08071e+08
1736726400000,0.2336,0.2373,0.2168,0.2228,1.23612e+09
1736812800000,0.2228,0.2269,0.2204,0.2209,5.73523e+08
1736899200000,0.2209,0.2383,0.2205,0.2381,7.92282e+08
1736985600000,0.238,0.241,0.2329,0.2371,9.21797e+08
1737072000000,0.2371,0.2494,0.2371,0.2487,5.80095e+08
1737158400000,0.2488,0.2679,0.2384,0.2423,1.48153e+09
1737244800000,0.2423,0.2466,0.2262,0.2287,1.79595e+09
1737331200000,0.2286,0.2568,0.2241,0.2383,2.2281e+09
1737417600000,0.2383,0.247,0.2351,0.2448,9.4249e+08
1737504000000,0.2448,0.2583,0.2447,0.2536,1.00653e+09
1737590400000,0.2536,0.2546,0.2441,0.2527,1.14204e+09
1737676800000,0.2527,0.2614,0.2503,0.2543,6.55148e+08
1737763200000,0.2544,0.2577,0.253,0.2534,3.30743e+08
1737849600000,0.2533,0.2542,0.2462,0.2462,3.25529e+08
1737936000000,0.2463,0.2469,0.2323,0.2465,1.06108e+09
1738022400000,0.2464,0.2483,0.2385,0.2399,4.18467e+08
1738108800000,0.2399,0.2438,0.236,0.2402,5.21112e+08
1738195200000,0.2402,0.2528,0.2391,0.2519,4.17794e+08
1738281600000,0.252,0.258,0.2511,0.2537,4.90152e+08
1738368000000,0.2538,0.2565,0.2439,0.2443,4.90599e+08
1738454400000,0.2443,0.2463,0.2224,0.2255,1.43391e+09
1738540800000,0.2255,0.23,0.2011,0.2287,2.39728e+09
1738627200000,0.2288,0.2295,0.2159,0.2245,1.49038e+09
1738713600000,0.2245,0.2272,0.2217,0.2225,6.03132e+08
1738800000000,0.2225,0.2328,0.2215,0.2316,7.82522e+08
1738886400000,0.2317,0.2349,0.2274,0.23,6.44164e+08
1738972800000,0.23,0.2345,0.2286,0.2313,3.3636e+08
1739059200000,0.2314,0.2377,0.2309,0.2322,3.75237e+08
1739145600000,0.2322,0.2468,0.228,0.2462,5.85918e+08
1739232000000,0.2463,0.2491,0.2401,0.241,4.71088e+08
1739318400000,0.2411,0.2455,0.2356,0.2433,6.1045e+08
1739404800000,0.2434,0.2442,0.2337,0.2342,4.38897e+08
1739491200000,0.2342,0.2368,0.2301,0.2315,4.16342e+08
1739577600000,0.2315,0.238,0.2302,0.2375,2.68573e+08
1739664000000,0.2375,0.2439,0.2355,0.2424,3.33412e+08
1739750400000,0.2424,0.2476,0.2384,0.2388,5.00178e+08
1739836800000,0.2388,0.2412,0.2325,0.2392,4.90877e+08
1739923200000,0.2392,0.244,0.2392,0.2424,3.40282e+08
1740009600000,0.2424,0.2478,0.2377,0.2464,3.42326e+08
1740096000000,0.2464,0.2506,0.2355,0.2379,5.74949e+08
1740182400000,0.2379,0.2397,0.2345,0.2393,2.88694e+08
1740268800000,0.2392,0.2462,0.2379,0.246,3.31033e+08
1740355200000,0.246,0.249,0.2394,0.2401,8.42409e+08
1740441600000,0.24,0.244,0.2253,0.2309,1.89081e+09
1740528000000,0.2308,0.2319,0.2229,0.2272,1.00933e+09
1740614400000,0.2273,0.2298,0.2256,0.2286,4.44354e+08
1740700800000,0.2286,0.2334,0.2171,0.2333,1.19336e+09
1740787200000,0.2333,0.2373,0.2299,0.2341,3.74673e+08
1740873600000,0.2341,0.2475,0.2321,0.2441,5.52052e+08
1740960000000,0.2441,0.2455,0.2274,0.2312,9.56081e+08
1741046400000,0.2312,0.243,0.2267,0.2426,1.13806e+09
1741132800000,0.2426,0.2452,0.2406,0.2437,4.12787e+08
1741219200000,0.2437,0.2468,0.2391,0.2401,4.06464e+08
1741305600000,0.2401,0.2468,0.2349,0.2436,5.56054e+08
1741392000000,0.2436,0.2509,0.2435,0.2438,4.35586e+08
1741478400000,0.2439,0.2442,0.2318,0.2321,4.21133e+08
1741564800000,0.2322,0.2381,0.2271,0.2292,7.83419e+08
1741651200000,0.2291,0.2323,0.2226,0.2244,7.86523e+08
1741737600000,0.2243,0.2263,0.2201,0.2229,6.03882e+08
1741824000000,0.2229,0.2266,0.2221,0.2253,5.04331e+08
1741910400000,0.2253,0.2263,0.2207,0.2224,3.48598e+08
1741996800000,0.2224,0.2251,0.2203,0.2215,3.87929e+08
1742083200000,0.2215,0.2217,0.2109,0.2119,4.59168e+08
1742169600000,0.2119,0.222,0.2111,0.2206,4.56289e+08
1742256000000,0.2207,0.2394,0.22,0.2371,6.79967e+08
1742342400000,0.2371,0.2437,0.2288,0.2309,1.01073e+09
1742428800000,0.2309,0.2369,0.2285,0.2339,5.11193e+08
1742515200000,0.2339,0.2377,0.2304,0.2335,3.65697e+08
1742601600000,0.2335,0.2384,0.2328,0.237,2.73344e+08
1742688000000,0.237,0.2409,0.2297,0.23,2.89593e+08
1742774400000,0.23,0.2301,0.2251,0.2282,4.98184e+08
1742860800000,0.2282,0.2291,0.2259,0.2272,2.3496e+08
1742947200000,0.2273,0.2318,0.2268,0.2314,3.12779e+08
1743033600000,0.2313,0.2353,0.2307,0.235,3.21623e+08
1743120000000,0.2351,0.2351,0.2291,0.2325,3.42656e+08
1743206400000,0.2325,0.2358,0.2317,0.2318,3.43416e+08
1743292800000,0.2318,0.2329,0.2296,0.2319,2.41574e+08
1743379200000,0.2318,0.2402,0.2311,0.2388,3.18936e+08
1743465600000,0.2387,0.2392,0.2332,0.2378,2.61888e+08
1743552000000,0.2378,0.2402,0.2321,0.2341,4.69781e+08
1743638400000,0.234,0.2386,0.2304,0.2382,3.20971e+08
1743724800000,0.2382,0.2418,0.2366,0.239,3.17724e+08
1743811200000,0.239,0.2393,0.2358,0.2375,1.54149e+08
1743897600000,0.2375,0.2401,0.2283,0.2301,3.50204e+08
1743984000000,0.2301,0.2323,0.221,0.2287,8.55775e+08
1744070400000,0.2287,0.2368,0.2285,0.2306,5.2094e+08
1744156800000,0.2306,0.2391,0.2264,0.2385,6.52751e+08
1744243200000,0.2385,0.2439,0.2346,0.2363,6.07229e+08
1744329600000,0.2364,0.2438,0.2345,0.243,3.68063e+08
1744416000000,0.2429,0.2506,0.2404,0.246,4.52741e+08
1744502400000,0.246,0.2547,0.2457,0.2547,4.65422e+08
1744588800000,0.2547,0.2597,0.2525,0.253,5.02277e+08
