OpenTime,Open,High,Low,Close,Volume
1736035200000,15.279,15.372,14.811,15.159,2.09743e+06
1736121600000,15.163,15.654,14.82,15.077,5.91337e+06
1736208000000,15.076,15.134,13.482,13.531,3.21253e+06
1736294400000,13.532,13.835,12.494,13.118,4.34257e+06
1736380800000,13.117,13.362,12.367,12.867,3.5459e+06
1736467200000,12.869,14.098,12.853,13.941,4.89696e+06
1736553600000,13.942,14.059,13.458,13.645,1.5199e+06
1736640000000,13.648,13.889,13.512,13.631,1.41781e+06
1736726400000,13.632,13.948,12.022,12.893,4.32504e+06
1736812800000,12.893,13.429,12.821,13.314,1.70011e+06
1736899200000,13.314,14.68,12.965,14.542,3.98309e+06
1736985600000,14.544,14.629,13.933,14.097,3.17548e+06
1737072000000,14.098,15.174,14.086,14.98,3.78776e+06
1737158400000,14.98,15.25,13.88,14.171,5.08493e+06
1737244800000,14.171,14.594,13.015,13.287,7.33316e+06
1737331200000,13.292,14.844,12.903,13.524,7.2505e+06
1737417600000,13.523,13.862,12.986,13.507,4.28275e+06
1737504000000,13.506,13.621,12.762,12.89,2.62701e+06
1737590400000,12.894,13.057,12.388,12.81,3.24599e+06
1737676800000,12.811,13.16,12.425,12.464,2.30097e+06
1737763200000,12.465,12.469,12.042,12.093,1.68622e+06
1737849600000,12.093,12.402,11.409,11.432,2.52083e+06
1737936000000,11.429,11.535,10.254,11.006,5.59904e+06
1738022400000,11.007,11.36,10.802,11.142,3.72802e+06
1738108800000,11.137,12.09,11.113,11.733,6.85929e+06
1738195200000,11.731,12.3,11.638,11.967,3.62654e+06
1738281600000,11.966,12.833,11.659,11.774,4.52119e+06
1738368000000,11.773,11.929,10.76,10.861,2.64402e+06
1738454400000,10.858,11.113,8.698,9.184,7.15731e+06
1738540800000,9.19,10.213,6.884,9.956,2.24958e+07
1738627200000,9.956,9.976,8.773,9.069,7.98096e+06
1738713600000,9.07,9.528,9.007,9.274,4.05329e+06
1738800000000,9.274,9.474,8.9,8.984,4.40743e+06
1738886400000,8.984,9.508,8.747,9.01,4.70471e+06
1738972800000,9.009,9.193,8.726,9.139,2.39385e+06
1739059200000,9.138,9.32,8.696,9.13,2.96426e+06
1739145600000,9.131,9.603,8.821,9.458,3.80183e+06
1739232000000,9.458,10.045,9.244,9.381,4.51279e+06
1739318400000,9.38,10.134,9.078,9.951,4.12059e+06
1739404800000,9.955,10.082,9.464,9.889,2.29342e+06
1739491200000,9.891,10.355,9.804,10.056,2.55941e+06
1739577600000,10.057,10.148,9.716,9.811,1.60008e+06
1739664000000,9.811,9.943,9.566,9.585,1.55844e+06
1739750400000,9.584,10.247,9.444,9.947,2.6836e+06
1739836800000,9.944,9.953,9.143,9.632,2.98633e+06
1739923200000,9.631,9.73,9.378,9.434,2.64228e+06
1740009600000,9.434,9.567,8.966,9.341,5.16372e+06
1740096000000,9.341,9.643,8.586,8.743,5.84246e+06
1740182400000,8.742,9.131,8.676,9.039,2.28187e+06
1740268800000,9.04,9.22,8.914,9.019,1.18092e+06
1740355200000,9.02,9.128,7.784,7.975,3.97298e+06
1740441600000,7.978,8.632,7.408,8.312,8.8608e+06
1740528000000,8.311,8.514,7.645,7.908,7.40186e+06
1740614400000,7.909,8.3,7.719,7.868,4.10242e+06
1740700800000,7.87,7.894,7.046,7.497,7.61573e+06
1740787200000,7.497,7.663,7.202,7.5,2.4126e+06
1740873600000,7.5,8.418,7.309,8.268,5.41971e+06
1740960000000,8.269,8.298,7.057,7.126,5.29981e+06
1741046400000,7.126,7.177,6.47,7.07,8.73584e+06
1741132800000,7.07,7.56,7.013,7.52,4.91929e+06
1741219200000,7.52,7.697,7.049,7.103,4.64582e+06
1741305600000,7.104,7.363,6.821,7.07,3.73296e+06
1741392000000,7.07,7.227,6.891,7.165,1.64172e+06
1741478400000,7.164,7.215,6.314,6.397,2.57301e+06
1741564800000,6.398,6.957,5.784,5.906,4.69847e+06
1741651200000,5.907,6.244,5.506,6.096,7.03196e+06
1741737600000,6.098,6.209,5.743,5.912,3.46067e+06
1741824000000,5.912,6.074,5.693,5.89,3.14633e+06
1741910400000,5.891,6.141,5.835,6.026,3.43899e+06
1741996800000,6.028,6.326,5.995,6.271,2.14901e+06
1742083200000,6.272,6.294,5.973,6.139,3.0014e+06
1742169600000,6.138,6.39,6.081,6.297,2.31224e+06
1742256000000,6.297,6.378,6.096,6.374,1.89543e+06
1742342400000,6.374,7.38,6.32,6.984,7.65052e+06
1742428800000,6.985,7.056,6.643,6.912,3.04776e+06
1742515200000,6.913,6.93,6.716,6.781,1.35371e+06
1742601600000,6.783,6.929,6.725,6.737,1.17918e+06
1742688000000,6.736,6.829,6.615,6.688,1.43165e+06
1742774400000,6.691,7.162,6.578,7.088,2.44065e+06
1742860800000,7.088,7.133,6.926,6.967,1.60454e+06
1742947200000,6.968,7.129,6.646,6.721,2.42854e+06
1743033600000,6.724,6.909,6.651,6.725,2.64011e+06
1743120000000,6.727,6.838,6.049,6.174,3.60576e+06
1743206400000,6.174,6.255,5.863,5.96,2.80804e+06
1743292800000,5.96,6.063,5.804,5.871,1.42172e+06
1743379200000,5.872,6.054,5.74,5.971,2.84317e+06
1743465600000,5.971,6.351,5.96,6.265,1.5285e+06
1743552000000,6.264,6.47,5.786,5.836,3.4498e+06
1743638400000,5.835,6.069,5.65,5.869,2.33324e+06
1743724800000,5.87,6.032,5.655,5.909,2.30982e+06
1743811200000,5.909,5.941,5.762,5.866,730790
1743897600000,5.867,5.902,4.972,5.101,4.13554e+06
1743984000000,5.102,5.35,4.602,5.121,7.71567e+06
