OpenTime,Open,High,Low,Close,Volume
1736035200000,0.4505,0.4568,0.4323,0.4407,1.34672e+08
1736121600000,0.4408,0.4637,0.4325,0.4466,1.75119e+08
1736208000000,0.4466,0.4698,0.4143,0.4178,3.43359e+08
1736294400000,0.4178,0.4394,0.3896,0.4255,3.37768e+08
1736380800000,0.4255,0.4301,0.3868,0.3913,1.94096e+08
1736467200000,0.3912,0.4258,0.3874,0.4143,2.10835e+08
1736553600000,0.4144,0.4591,0.4034,0.4459,2.12482e+08
1736640000000,0.4458,0.4469,0.4194,0.4224,1.27386e+08
1736726400000,0.4223,0.4392,0.3918,0.4196,2.39343e+08
1736812800000,0.4197,0.4369,0.4155,0.4303,1.44385e+08
1736899200000,0.4302,0.4955,0.4263,0.4881,6.26528e+08
1736985600000,0.4882,0.515,0.4638,0.4819,6.21479e+08
1737072000000,0.482,0.4996,0.4741,0.4877,2.96555e+08
1737158400000,0.4876,0.4926,0.4515,0.4907,2.71249e+08
1737244800000,0.4908,0.4954,0.4177,0.4332,4.37446e+08
1737331200000,0.4332,0.4788,0.4237,0.4472,5.17384e+08
1737417600000,0.4473,0.455,0.4275,0.4423,1.69542e+08
1737504000000,0.4424,0.4454,0.4256,0.4285,1.42482e+08
1737590400000,0.4285,0.4371,0.4124,0.4309,1.52102e+08
1737676800000,0.431,0.4486,0.4198,0.4309,1.0352e+08
1737763200000,0.4308,0.4372,0.4126,0.4172,8.91079e+07
1737849600000,0.4171,0.4263,0.4057,0.4063,7.80914e+07
1737936000000,0.4062,0.41,0.3628,0.4075,2.71521e+08
1738022400000,0.4075,0.4211,0.39,0.3927,1.15332e+08
1738108800000,0.3928,0.4067,0.3818,0.3927,1.06367e+08
1738195200000,0.3927,0.4439,0.3892,0.4286,1.72535e+08
1738281600000,0.4287,0.4299,0.4073,0.4142,9.08041e+07
1738368000000,0.4142,0.4205,0.3886,0.3922,8.03129e+07
1738454400000,0.3922,0.4013,0.3352,0.354,2.6666e+08
1738540800000,0.3541,0.3726,0.2586,0.3705,9.42636e+08
1738627200000,0.3704,0.3751,0.3327,0.3408,2.25016e+08
1738713600000,0.3408,0.3487,0.3223,0.3271,1.10792e+08
1738800000000,0.3272,0.3412,0.313,0.3182,1.13375e+08
1738886400000,0.3183,0.3451,0.3162,0.3268,1.36229e+08
1738972800000,0.3267,0.3345,0.3206,0.3315,5.86037e+07
1739059200000,0.3316,0.3388,0.3028,0.314,1.00091e+08
1739145600000,0.3141,0.3232,0.3031,0.3132,1.03504e+08
1739232000000,0.3132,0.3391,0.3121,0.3181,1.29599e+08
1739318400000,0.318,0.3369,0.308,0.3331,1.27525e+08
1739404800000,0.3332,0.343,0.3225,0.3371,7.86841e+07
1739491200000,0.3371,0.3629,0.3337,0.3506,1.50322e+08
1739577600000,0.3507,0.3663,0.3455,0.3489,7.96773e+07
1739664000000,0.3488,0.3522,0.3397,0.3426,4.26997e+07
1739750400000,0.3426,0.3486,0.3304,0.3341,5.73537e+07
1739836800000,0.3341,0.3353,0.3157,0.3235,5.62781e+07
1739923200000,0.3236,0.3427,0.3211,0.3419,6.4362e+07
1740009600000,0.3419,0.3497,0.3358,0.3447,5.3719e+07
1740096000000,0.3446,0.3465,0.3207,0.3261,6.96535e+07
1740182400000,0.3262,0.3399,0.3243,0.3344,3.40652e+07
1740268800000,0.3344,0.3361,0.3265,0.3331,2.78796e+07
1740355200000,0.3331,0.3352,0.2938,0.2979,1.14941e+08
1740441600000,0.2978,0.3034,0.2709,0.2955,1.90159e+08
1740528000000,0.2955,0.2995,0.2782,0.2866,8.64318e+07
1740614400000,0.2866,0.2937,0.2769,0.2833,6.27452e+07
1740700800000,0.2834,0.2887,0.2526,0.2863,1.16075e+08
1740787200000,0.2864,0.3189,0.2836,0.3115,1.1624e+08
1740873600000,0.3115,0.3755,0.3095,0.3511,3.56419e+08
1740960000000,0.351,0.362,0.2896,0.2925,2.49353e+08
1741046400000,0.2925,0.3012,0.2735,0.295,1.5701e+08
1741132800000,0.295,0.309,0.2901,0.2995,8.50017e+07
1741219200000,0.2996,0.3097,0.295,0.2962,6.70236e+07
1741305600000,0.2961,0.3031,0.2797,0.2834,1.38169e+08
1741392000000,0.2833,0.2849,0.272,0.2758,3.73582e+07
1741478400000,0.2759,0.2793,0.2612,0.263,8.64339e+07
1741564800000,0.2631,0.2764,0.2397,0.2418,1.11587e+08
1741651200000,0.2419,0.2614,0.2268,0.2553,1.0117e+08
1741737600000,0.2553,0.2635,0.2467,0.2594,8.23115e+07
1741824000000,0.2594,0.295,0.2586,0.274,1.76756e+08
1741910400000,0.2739,0.2836,0.2709,0.2762,1.09088e+08
1741996800000,0.2762,0.2843,0.2715,0.2746,8.4354e+07
1742083200000,0.2746,0.2762,0.2608,0.2625,4.34239e+07
1742169600000,0.2625,0.2775,0.2623,0.273,6.0182e+07
1742256000000,0.2729,0.2752,0.2624,0.2733,4.57607e+07
1742342400000,0.2733,0.2979,0.2732,0.2907,1.60308e+08
1742428800000,0.2908,0.2926,0.2777,0.2814,6.84829e+07
1742515200000,0.2814,0.2879,0.2741,0.277,4.99623e+07
1742601600000,0.277,0.2801,0.2734,0.274,3.02309e+07
1742688000000,0.2739,0.284,0.2731,0.2831,2.89818e+07
1742774400000,0.2831,0.295,0.2781,0.2907,4.59814e+07
1742860800000,0.2906,0.296,0.2861,0.2938,4.00472e+07
1742947200000,0.2938,0.3022,0.2833,0.2854,4.36954e+07
1743033600000,0.2855,0.2948,0.2819,0.2864,3.64071e+07
1743120000000,0.2864,0.2891,0.2698,0.2747,5.23217e+07
1743206400000,0.2747,0.277,0.2618,0.2673,3.6039e+07
1743292800000,0.2674,0.2725,0.2632,0.2669,2.32304e+07
1743379200000,0.267,0.2701,0.2584,0.2639,4.87796e+07
1743465600000,0.2639,0.2794,0.2618,0.2721,4.37578e+07
1743552000000,0.2721,0.2784,0.2542,0.2581,9.04255e+07
1743638400000,0.2581,0.2671,0.25,0.261,4.23135e+07
1743724800000,0.2611,0.265,0.2531,0.2596,4.83019e+07
1743811200000,0.2595,0.2615,0.2485,0.2525,4.41121e+07
1743897600000,0.2525,0.2543,0.2231,0.2263,8.51058e+07
1743984000000,0.2263,0.2447,0.2001,0.2322,2.01426e+08
1744070400000,0.2322,0.2414,0.2198,0.2212,8.61644e+07
1744156800000,0.2212,0.2459,0.2134,0.2422,1.34007e+08
1744243200000,0.2422,0.2425,0.2243,0.2303,6.02218e+07
1744329600000,0.2302,0.238,0.2292,0.2339,5.31582e+07
1744416000000,0.2339,0.2487,0.2328,0.2463,4.10241e+07
1744502400000,0.2462,0.2523,0.2349,0.238,5.68524e+07
1744588800000,0.2381,0.2475,0.237,0.2402,3.97656e+07
